membership_period_id,member_id,period_year,period_start,period_end,membership_type,list_fee,discount_amount,net_membership_revenue,contribution_margin,renewed_next_period
MP000679,M00330,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000680,M00331,2022,2022-06-18,2022-12-31,Family annual,840,0,840,327.6,Yes
MP000681,M00331,2023,2023-01-01,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000682,M00331,2024,2024-01-01,2024-12-31,Family annual,840,25,815,317.85,Yes
MP000683,M00331,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000684,M00332,2025,2025-09-16,2025-12-31,Senior annual,390,75,315,113.4,Censored
MP000685,M00333,2023,2023-04-24,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000686,M00333,2024,2024-01-01,2024-12-31,Family annual,840,25,815,317.85,Yes
MP000687,M00333,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000688,M00334,2023,2023-10-17,2023-12-31,Adult annual,540,75,465,204.6,Yes
MP000689,M00334,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000690,M00334,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000691,M00335,2023,2023-02-01,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000692,M00335,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000693,M00335,2025,2025-01-01,2025-12-31,Family annual,840,50,790,308.1,Censored
MP000694,M00336,2024,2024-02-12,2024-12-31,Monthly flexible,480,0,480,196.8,No
MP000695,M00337,2025,2025-01-28,2025-12-31,Adult annual,540,50,490,215.6,Censored
MP000696,M00338,2023,2023-06-22,2023-12-31,Adult annual,540,25,515,226.6,Yes
MP000697,M00338,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000698,M00338,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000699,M00339,2023,2023-09-21,2023-12-31,Senior annual,390,0,390,140.4,No
MP000700,M00340,2022,2022-08-07,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000701,M00340,2023,2023-01-01,2023-12-31,Adult annual,540,25,515,226.6,Yes
MP000702,M00340,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000703,M00340,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000704,M00341,2023,2023-09-20,2023-12-31,Adult annual,540,0,540,237.6,No
MP000705,M00342,2022,2022-07-07,2022-12-31,Youth annual,300,0,300,93,Yes
MP000706,M00342,2023,2023-01-01,2023-12-31,Youth annual,300,0,300,93,Yes
MP000707,M00342,2024,2024-01-01,2024-12-31,Youth annual,300,0,300,93,Yes
MP000708,M00342,2025,2025-01-01,2025-12-31,Youth annual,300,0,300,93,Censored
MP000709,M00343,2024,2024-09-29,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000710,M00343,2025,2025-01-01,2025-12-31,Family annual,840,25,815,317.85,Censored
MP000711,M00344,2025,2025-04-25,2025-12-31,Family annual,840,50,790,308.1,Censored
MP000712,M00345,2022,2022-06-12,2022-12-31,Monthly flexible,480,75,405,166.05,Yes
MP000713,M00345,2023,2023-01-01,2023-12-31,Monthly flexible,480,0,480,196.8,No
MP000714,M00346,2024,2024-05-05,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000715,M00346,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000716,M00347,2022,2022-07-13,2022-12-31,Monthly flexible,480,75,405,166.05,No
MP000717,M00348,2023,2023-11-21,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000718,M00348,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000719,M00348,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000720,M00349,2025,2025-02-16,2025-12-31,Senior annual,390,25,365,131.4,Censored
MP000721,M00350,2024,2024-08-04,2024-12-31,Senior annual,390,0,390,140.4,No
MP000722,M00351,2024,2024-01-20,2024-12-31,Family annual,840,25,815,317.85,Yes
MP000723,M00351,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000724,M00352,2024,2024-03-02,2024-12-31,Senior annual,390,0,390,140.4,No
MP000725,M00353,2023,2023-04-26,2023-12-31,Senior annual,390,0,390,140.4,Yes
MP000726,M00353,2024,2024-01-01,2024-12-31,Senior annual,390,25,365,131.4,Yes
MP000727,M00353,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000728,M00354,2025,2025-08-15,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000729,M00355,2024,2024-09-21,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000730,M00355,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000731,M00356,2025,2025-01-11,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000732,M00357,2022,2022-10-09,2022-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000733,M00357,2023,2023-01-01,2023-12-31,Monthly flexible,480,25,455,186.55,No
MP000734,M00358,2022,2022-05-25,2022-12-31,Senior annual,390,75,315,113.4,Yes
MP000735,M00358,2023,2023-01-01,2023-12-31,Senior annual,390,0,390,140.4,Yes
MP000736,M00358,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000737,M00358,2025,2025-01-01,2025-12-31,Senior annual,390,50,340,122.4,Censored
MP000738,M00359,2022,2022-05-10,2022-12-31,Adult annual,540,25,515,226.6,No
MP000739,M00360,2024,2024-02-06,2024-12-31,Senior annual,390,75,315,113.4,Yes
MP000740,M00360,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000741,M00361,2024,2024-06-16,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000742,M00361,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000743,M00362,2023,2023-10-25,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000744,M00362,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000745,M00362,2025,2025-01-01,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000746,M00363,2023,2023-04-16,2023-12-31,Senior annual,390,0,390,140.4,Yes
MP000747,M00363,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000748,M00363,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000749,M00364,2023,2023-07-08,2023-12-31,Senior annual,390,0,390,140.4,Yes
MP000750,M00364,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000751,M00364,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000752,M00365,2023,2023-05-16,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000753,M00365,2024,2024-01-01,2024-12-31,Family annual,840,25,815,317.85,Yes
MP000754,M00365,2025,2025-01-01,2025-12-31,Family annual,840,75,765,298.35,Censored
MP000755,M00366,2025,2025-11-24,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000756,M00367,2023,2023-09-19,2023-12-31,Adult annual,540,50,490,215.6,Yes
MP000757,M00367,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000758,M00367,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000759,M00368,2023,2023-11-18,2023-12-31,Monthly flexible,480,0,480,196.8,No
MP000760,M00369,2024,2024-05-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000761,M00369,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000762,M00370,2022,2022-01-24,2022-12-31,Monthly flexible,480,50,430,176.3,Yes
MP000763,M00370,2023,2023-01-01,2023-12-31,Monthly flexible,480,75,405,166.05,No
MP000764,M00371,2022,2022-04-05,2022-12-31,Monthly flexible,480,50,430,176.3,Yes
MP000765,M00371,2023,2023-01-01,2023-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000766,M00371,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000767,M00371,2025,2025-01-01,2025-12-31,Monthly flexible,480,25,455,186.55,Censored
MP000768,M00372,2025,2025-05-29,2025-12-31,Youth annual,300,0,300,93,Censored
MP000769,M00373,2022,2022-05-26,2022-12-31,Family annual,840,25,815,317.85,Yes
MP000770,M00373,2023,2023-01-01,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000771,M00373,2024,2024-01-01,2024-12-31,Family annual,840,25,815,317.85,Yes
MP000772,M00373,2025,2025-01-01,2025-12-31,Family annual,840,50,790,308.1,Censored
MP000773,M00374,2023,2023-04-07,2023-12-31,Youth annual,300,0,300,93,Yes
MP000774,M00374,2024,2024-01-01,2024-12-31,Youth annual,300,0,300,93,Yes
MP000775,M00374,2025,2025-01-01,2025-12-31,Youth annual,300,0,300,93,Censored
MP000776,M00375,2023,2023-03-13,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000777,M00375,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000778,M00375,2025,2025-01-01,2025-12-31,Family annual,840,75,765,298.35,Censored
MP000779,M00376,2024,2024-03-28,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000780,M00376,2025,2025-01-01,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000781,M00377,2024,2024-07-23,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000782,M00377,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000783,M00378,2022,2022-01-21,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000784,M00378,2023,2023-01-01,2023-12-31,Adult annual,540,0,540,237.6,No
MP000785,M00379,2024,2024-07-29,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000786,M00379,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000787,M00380,2022,2022-06-24,2022-12-31,Senior annual,390,25,365,131.4,No
MP000788,M00381,2024,2024-08-12,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000789,M00381,2025,2025-01-01,2025-12-31,Monthly flexible,480,25,455,186.55,Censored
MP000790,M00382,2025,2025-05-22,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000791,M00383,2023,2023-10-31,2023-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000792,M00383,2024,2024-01-01,2024-12-31,Monthly flexible,480,25,455,186.55,No
MP000793,M00384,2024,2024-01-14,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000794,M00384,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000795,M00385,2023,2023-11-23,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000796,M00385,2024,2024-01-01,2024-12-31,Family annual,840,75,765,298.35,Yes
MP000797,M00385,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000798,M00386,2025,2025-05-28,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000799,M00387,2024,2024-04-15,2024-12-31,Youth annual,300,0,300,93,No
MP000800,M00388,2023,2023-10-02,2023-12-31,Youth annual,300,0,300,93,Yes
MP000801,M00388,2024,2024-01-01,2024-12-31,Youth annual,300,0,300,93,Yes
MP000802,M00388,2025,2025-01-01,2025-12-31,Youth annual,300,0,300,93,Censored
MP000803,M00389,2022,2022-07-27,2022-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000804,M00389,2023,2023-01-01,2023-12-31,Monthly flexible,480,50,430,176.3,Yes
MP000805,M00389,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000806,M00389,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000807,M00390,2024,2024-10-06,2024-12-31,Youth annual,300,0,300,93,Yes
MP000808,M00390,2025,2025-01-01,2025-12-31,Youth annual,300,50,250,77.5,Censored
MP000809,M00391,2025,2025-11-02,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000810,M00392,2023,2023-03-21,2023-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000811,M00392,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000812,M00392,2025,2025-01-01,2025-12-31,Monthly flexible,480,50,430,176.3,Censored
MP000813,M00393,2023,2023-08-12,2023-12-31,Adult annual,540,0,540,237.6,No
MP000814,M00394,2024,2024-07-04,2024-12-31,Monthly flexible,480,0,480,196.8,No
MP000815,M00395,2023,2023-10-16,2023-12-31,Adult annual,540,0,540,237.6,No
MP000816,M00396,2025,2025-04-12,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000817,M00397,2024,2024-08-19,2024-12-31,Adult annual,540,25,515,226.6,Yes
MP000818,M00397,2025,2025-01-01,2025-12-31,Adult annual,540,50,490,215.6,Censored
MP000819,M00398,2025,2025-01-31,2025-12-31,Youth annual,300,0,300,93,Censored
MP000820,M00399,2023,2023-01-20,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000821,M00399,2024,2024-01-01,2024-12-31,Family annual,840,25,815,317.85,No
MP000822,M00400,2023,2023-01-22,2023-12-31,Adult annual,540,25,515,226.6,Yes
MP000823,M00400,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000824,M00400,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000825,M00401,2022,2022-06-26,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000826,M00401,2023,2023-01-01,2023-12-31,Adult annual,540,25,515,226.6,Yes
MP000827,M00401,2024,2024-01-01,2024-12-31,Adult annual,540,50,490,215.6,Yes
MP000828,M00401,2025,2025-01-01,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000829,M00402,2023,2023-03-20,2023-12-31,Senior annual,390,0,390,140.4,No
MP000830,M00403,2024,2024-10-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000831,M00403,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000832,M00404,2025,2025-01-22,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000833,M00405,2024,2024-01-21,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000834,M00405,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000835,M00406,2025,2025-10-06,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000836,M00407,2025,2025-07-13,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000837,M00408,2022,2022-07-15,2022-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000838,M00408,2023,2023-01-01,2023-12-31,Monthly flexible,480,50,430,176.3,Yes
MP000839,M00408,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000840,M00408,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000841,M00409,2024,2024-01-21,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000842,M00409,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000843,M00410,2023,2023-06-08,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000844,M00410,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,No
MP000845,M00411,2023,2023-10-02,2023-12-31,Family annual,840,0,840,327.6,No
MP000846,M00412,2023,2023-08-23,2023-12-31,Senior annual,390,75,315,113.4,No
MP000847,M00413,2023,2023-03-12,2023-12-31,Monthly flexible,480,25,455,186.55,Yes
MP000848,M00413,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000849,M00413,2025,2025-01-01,2025-12-31,Monthly flexible,480,25,455,186.55,Censored
MP000850,M00414,2022,2022-11-07,2022-12-31,Family annual,840,0,840,327.6,No
MP000851,M00415,2025,2025-03-22,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000852,M00416,2022,2022-10-26,2022-12-31,Monthly flexible,480,0,480,196.8,No
MP000853,M00417,2025,2025-11-02,2025-12-31,Youth annual,300,0,300,93,Censored
MP000854,M00418,2022,2022-04-01,2022-12-31,Family annual,840,0,840,327.6,Yes
MP000855,M00418,2023,2023-01-01,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000856,M00418,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,No
MP000857,M00419,2024,2024-04-20,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000858,M00419,2025,2025-01-01,2025-12-31,Family annual,840,25,815,317.85,Censored
MP000859,M00420,2023,2023-11-11,2023-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000860,M00420,2024,2024-01-01,2024-12-31,Monthly flexible,480,25,455,186.55,Yes
MP000861,M00420,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000862,M00421,2023,2023-01-17,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000863,M00421,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000864,M00421,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000865,M00422,2023,2023-04-09,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000866,M00422,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000867,M00422,2025,2025-01-01,2025-12-31,Family annual,840,50,790,308.1,Censored
MP000868,M00423,2023,2023-07-20,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000869,M00423,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000870,M00423,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000871,M00424,2024,2024-10-29,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000872,M00424,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000873,M00425,2025,2025-03-03,2025-12-31,Youth annual,300,75,225,69.75,Censored
MP000874,M00426,2025,2025-11-12,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000875,M00427,2023,2023-03-09,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000876,M00427,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000877,M00427,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000878,M00428,2023,2023-09-24,2023-12-31,Adult annual,540,75,465,204.6,No
MP000879,M00429,2022,2022-07-11,2022-12-31,Family annual,840,0,840,327.6,Yes
MP000880,M00429,2023,2023-01-01,2023-12-31,Family annual,840,75,765,298.35,Yes
MP000881,M00429,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000882,M00429,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000883,M00430,2022,2022-01-23,2022-12-31,Family annual,840,0,840,327.6,Yes
MP000884,M00430,2023,2023-01-01,2023-12-31,Family annual,840,0,840,327.6,No
MP000885,M00431,2025,2025-04-23,2025-12-31,Adult annual,540,75,465,204.6,Censored
MP000886,M00432,2022,2022-05-06,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000887,M00432,2023,2023-01-01,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000888,M00432,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000889,M00432,2025,2025-01-01,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000890,M00433,2023,2023-04-14,2023-12-31,Youth annual,300,50,250,77.5,Yes
MP000891,M00433,2024,2024-01-01,2024-12-31,Youth annual,300,0,300,93,Yes
MP000892,M00433,2025,2025-01-01,2025-12-31,Youth annual,300,0,300,93,Censored
MP000893,M00434,2024,2024-08-21,2024-12-31,Senior annual,390,25,365,131.4,No
MP000894,M00435,2024,2024-06-19,2024-12-31,Family annual,840,50,790,308.1,Yes
MP000895,M00435,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000896,M00436,2023,2023-09-11,2023-12-31,Adult annual,540,75,465,204.6,Yes
MP000897,M00436,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000898,M00436,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000899,M00437,2022,2022-09-06,2022-12-31,Adult annual,540,50,490,215.6,Yes
MP000900,M00437,2023,2023-01-01,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000901,M00437,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000902,M00437,2025,2025-01-01,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000903,M00438,2023,2023-03-07,2023-12-31,Monthly flexible,480,50,430,176.3,Yes
MP000904,M00438,2024,2024-01-01,2024-12-31,Monthly flexible,480,50,430,176.3,Yes
MP000905,M00438,2025,2025-01-01,2025-12-31,Monthly flexible,480,50,430,176.3,Censored
MP000906,M00439,2023,2023-05-04,2023-12-31,Monthly flexible,480,75,405,166.05,Yes
MP000907,M00439,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000908,M00439,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000909,M00440,2023,2023-06-05,2023-12-31,Monthly flexible,480,50,430,176.3,No
MP000910,M00441,2023,2023-08-10,2023-12-31,Youth annual,300,0,300,93,Yes
MP000911,M00441,2024,2024-01-01,2024-12-31,Youth annual,300,0,300,93,Yes
MP000912,M00441,2025,2025-01-01,2025-12-31,Youth annual,300,0,300,93,Censored
MP000913,M00442,2024,2024-07-07,2024-12-31,Senior annual,390,50,340,122.4,Yes
MP000914,M00442,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000915,M00443,2022,2022-05-28,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000916,M00443,2023,2023-01-01,2023-12-31,Adult annual,540,50,490,215.6,Yes
MP000917,M00443,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000918,M00443,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000919,M00444,2024,2024-04-27,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000920,M00444,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000921,M00445,2025,2025-02-15,2025-12-31,Family annual,840,25,815,317.85,Censored
MP000922,M00446,2022,2022-05-23,2022-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000923,M00446,2023,2023-01-01,2023-12-31,Monthly flexible,480,0,480,196.8,No
MP000924,M00447,2024,2024-01-25,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000925,M00447,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000926,M00448,2025,2025-09-13,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000927,M00449,2023,2023-05-03,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000928,M00449,2024,2024-01-01,2024-12-31,Adult annual,540,25,515,226.6,Yes
MP000929,M00449,2025,2025-01-01,2025-12-31,Adult annual,540,75,465,204.6,Censored
MP000930,M00450,2024,2024-06-14,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000931,M00450,2025,2025-01-01,2025-12-31,Senior annual,390,75,315,113.4,Censored
MP000932,M00451,2023,2023-02-11,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000933,M00451,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,No
MP000934,M00452,2023,2023-03-12,2023-12-31,Senior annual,390,50,340,122.4,Yes
MP000935,M00452,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,No
MP000936,M00453,2022,2022-06-07,2022-12-31,Youth annual,300,75,225,69.75,No
MP000937,M00454,2023,2023-09-27,2023-12-31,Monthly flexible,480,0,480,196.8,No
MP000938,M00455,2022,2022-05-05,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000939,M00455,2023,2023-01-01,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000940,M00455,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000941,M00455,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000942,M00456,2023,2023-05-11,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000943,M00456,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000944,M00456,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000945,M00457,2022,2022-03-23,2022-12-31,Monthly flexible,480,0,480,196.8,No
MP000946,M00458,2024,2024-03-19,2024-12-31,Senior annual,390,25,365,131.4,Yes
MP000947,M00458,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000948,M00459,2023,2023-04-07,2023-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000949,M00459,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000950,M00459,2025,2025-01-01,2025-12-31,Monthly flexible,480,25,455,186.55,Censored
MP000951,M00460,2023,2023-06-17,2023-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000952,M00460,2024,2024-01-01,2024-12-31,Monthly flexible,480,0,480,196.8,Yes
MP000953,M00460,2025,2025-01-01,2025-12-31,Monthly flexible,480,0,480,196.8,Censored
MP000954,M00461,2025,2025-10-19,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000955,M00462,2023,2023-03-06,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000956,M00462,2024,2024-01-01,2024-12-31,Adult annual,540,25,515,226.6,No
MP000957,M00463,2022,2022-01-19,2022-12-31,Adult annual,540,0,540,237.6,Yes
MP000958,M00463,2023,2023-01-01,2023-12-31,Adult annual,540,0,540,237.6,Yes
MP000959,M00463,2024,2024-01-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000960,M00463,2025,2025-01-01,2025-12-31,Adult annual,540,25,515,226.6,Censored
MP000961,M00464,2023,2023-06-13,2023-12-31,Senior annual,390,0,390,140.4,Yes
MP000962,M00464,2024,2024-01-01,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000963,M00464,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000964,M00465,2025,2025-06-11,2025-12-31,Senior annual,390,50,340,122.4,Censored
MP000965,M00466,2025,2025-06-07,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000966,M00467,2024,2024-11-03,2024-12-31,Family annual,840,50,790,308.1,Yes
MP000967,M00467,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000968,M00468,2025,2025-09-08,2025-12-31,Youth annual,300,25,275,85.25,Censored
MP000969,M00469,2024,2024-02-02,2024-12-31,Senior annual,390,0,390,140.4,Yes
MP000970,M00469,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000971,M00470,2023,2023-02-26,2023-12-31,Adult annual,540,0,540,237.6,No
MP000972,M00471,2022,2022-04-13,2022-12-31,Family annual,840,0,840,327.6,Yes
MP000973,M00471,2023,2023-01-01,2023-12-31,Family annual,840,0,840,327.6,Yes
MP000974,M00471,2024,2024-01-01,2024-12-31,Family annual,840,0,840,327.6,Yes
MP000975,M00471,2025,2025-01-01,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000976,M00472,2025,2025-01-19,2025-12-31,Family annual,840,0,840,327.6,Censored
MP000977,M00473,2023,2023-10-14,2023-12-31,Senior annual,390,25,365,131.4,Yes
MP000978,M00473,2024,2024-01-01,2024-12-31,Senior annual,390,50,340,122.4,Yes
MP000979,M00473,2025,2025-01-01,2025-12-31,Senior annual,390,0,390,140.4,Censored
MP000980,M00474,2024,2024-07-01,2024-12-31,Adult annual,540,0,540,237.6,Yes
MP000981,M00474,2025,2025-01-01,2025-12-31,Adult annual,540,0,540,237.6,Censored
MP000982,M00475,2022,2022-07-23,2022-12-31,Monthly flexible,480,25,455,186.55,Yes
