registration_id,program_id,member_id,registration_date,registration_status,amount_paid
R0000514,P20230306,M00732,2023-01-15,Completed,60
R0000515,P20230306,M01272,2023-01-15,Completed,45
R0000516,P20230306,M00935,2023-01-23,Completed,60
R0000517,P20230306,M00446,2023-01-06,Completed,60
R0000518,P20230306,M01190,2023-01-12,Completed,45
R0000519,P20230306,M00080,2023-01-25,Completed,60
R0000520,P20230307,M00517,2023-03-22,Completed,65
R0000521,P20230307,M00641,2023-03-12,Completed,75
R0000522,P20230307,M00323,2023-03-21,Completed,65
R0000523,P20230307,M01255,2023-03-16,Completed,75
R0000524,P20230307,M00090,2023-03-11,Completed,60
R0000525,P20230307,M00570,2023-03-16,Completed,65
R0000526,P20230307,M00083,2023-03-16,Completed,75
R0000527,P20230307,M00373,2023-03-15,No-show,75
R0000528,P20230307,M00243,2023-03-13,Completed,65
R0000529,P20230307,M00791,2023-03-14,Completed,75
R0000530,P20230307,M01395,2023-03-15,Completed,75
R0000531,P20230307,M00537,2023-03-03,Completed,65
R0000532,P20230307,M01046,2023-03-25,Completed,75
R0000533,P20230307,M00576,2023-03-21,Completed,65
R0000534,P20230307,M00206,2023-03-08,Completed,75
R0000535,P20230307,M00693,2023-03-22,Completed,75
R0000536,P20230307,M00207,2023-03-02,Completed,60
R0000537,P20230307,M00995,2023-03-09,Completed,75
R0000538,P20230307,M00811,2023-03-20,Completed,65
R0000539,P20230307,M00392,2023-03-14,Completed,65
R0000540,P20230307,M00719,2023-03-13,Completed,75
R0000541,P20230307,M01230,2023-03-15,Completed,65
R0000542,P20230307,M00954,2023-03-10,Completed,75
R0000543,P20230307,M00309,2023-03-17,Completed,75
R0000544,P20230307,M00753,2023-03-24,Completed,75
R0000545,P20230307,M01292,2023-03-19,Completed,75
R0000546,P20230307,M00084,2023-03-16,Completed,65
R0000547,P20230307,M00631,2023-03-23,Completed,60
R0000548,P20230307,M01215,2023-03-14,Completed,75
R0000549,P20230307,M00057,2023-03-23,Cancelled,65
R0000550,P20230307,M00550,2023-03-19,Completed,75
R0000551,P20230307,M00102,2023-03-16,Completed,65
R0000552,P20230308,M00088,2023-10-14,Completed,60
R0000553,P20230308,M01296,2023-10-14,Completed,65
R0000554,P20230308,M01327,2023-10-09,Cancelled,60
R0000555,P20230308,M00673,2023-10-20,Completed,75
R0000556,P20230308,M01071,2023-10-06,Completed,75
R0000557,P20230308,M00899,2023-10-08,Completed,75
R0000558,P20230308,M01376,2023-10-06,Completed,60
R0000559,P20230308,M00311,2023-10-11,Completed,60
R0000560,P20230308,M00075,2023-10-07,Completed,75
R0000561,P20230308,M00368,2023-10-18,Completed,75
R0000562,P20230308,M00378,2023-10-02,Completed,75
R0000563,P20230308,M00574,2023-10-11,Completed,60
R0000564,P20230401,M00603,2023-01-18,Completed,75
R0000565,P20230401,M00364,2023-01-24,Completed,65
R0000566,P20230401,M01209,2023-01-11,Completed,75
R0000567,P20230401,M00896,2023-01-06,Completed,60
R0000568,P20230401,M00036,2023-01-08,Completed,75
R0000569,P20230401,M00677,2023-01-17,Cancelled,65
R0000570,P20230401,M00108,2023-01-08,Completed,75
R0000571,P20230401,M01253,2023-01-07,Completed,60
R0000572,P20230401,M00194,2023-01-20,Completed,60
R0000573,P20230401,M00050,2023-01-11,Completed,75
R0000574,P20230401,M01240,2023-01-05,Completed,75
R0000575,P20230401,M00657,2023-01-07,Completed,75
R0000576,P20230401,M00304,2023-01-25,Completed,75
R0000577,P20230401,M01012,2023-01-04,Completed,60
R0000578,P20230402,M00493,2023-03-10,Cancelled,60
R0000579,P20230402,M00891,2023-03-23,Completed,45
R0000580,P20230402,M00136,2023-03-18,Completed,60
R0000581,P20230402,M00434,2023-03-04,Completed,60
R0000582,P20230402,M00996,2023-03-17,Completed,45
R0000583,P20230402,M00201,2023-03-12,Completed,60
R0000584,P20230402,M00093,2023-03-12,Completed,60
R0000585,P20230402,M00992,2023-03-19,Cancelled,60
R0000586,P20230402,M00336,2023-03-22,Completed,60
R0000587,P20230402,M00532,2023-03-18,Completed,50
R0000588,P20230402,M01368,2023-03-07,Completed,45
R0000589,P20230402,M00394,2023-03-14,Completed,50
R0000590,P20230402,M00725,2023-03-25,Completed,60
R0000591,P20230402,M00054,2023-03-07,Completed,50
R0000592,P20230402,M00517,2023-03-16,Completed,60
R0000593,P20230402,M00988,2023-03-10,Cancelled,60
R0000594,P20230402,M00625,2023-03-19,Completed,60
R0000595,P20230402,M00492,2023-03-08,Completed,60
R0000596,P20230402,M00710,2023-03-13,Completed,60
R0000597,P20230402,M01208,2023-03-16,Completed,50
R0000598,P20230402,M00574,2023-03-02,Completed,60
R0000599,P20230403,M00453,2023-06-12,Completed,35
R0000600,P20230403,M01227,2023-06-20,No-show,35
R0000601,P20230403,M00746,2023-06-25,Completed,30
R0000602,P20230403,M01365,2023-06-02,Completed,35
R0000603,P20230403,M00113,2023-06-13,Completed,30
R0000604,P20230403,M00411,2023-06-04,Completed,45
R0000605,P20230403,M00897,2023-06-11,Completed,45
R0000606,P20230403,M01010,2023-06-02,Completed,30
R0000607,P20230403,M00438,2023-06-25,Cancelled,30
R0000608,P20230403,M00443,2023-06-15,Cancelled,35
R0000609,P20230403,M00818,2023-06-15,Completed,30
R0000610,P20230403,M00314,2023-06-19,Completed,35
R0000611,P20230403,M00287,2023-06-15,Completed,45
R0000612,P20230403,M00395,2023-06-18,Completed,45
R0000613,P20230403,M00535,2023-06-25,Completed,35
R0000614,P20230403,M00972,2023-06-04,Completed,30
R0000615,P20230404,M01261,2023-08-15,Completed,90
R0000616,P20230404,M00047,2023-08-20,Completed,90
R0000617,P20230404,M00956,2023-08-20,Completed,90
R0000618,P20230404,M00655,2023-08-02,Completed,90
R0000619,P20230404,M00989,2023-08-07,Completed,80
R0000620,P20230404,M00333,2023-08-18,Completed,90
R0000621,P20230404,M01362,2023-08-03,Completed,90
R0000622,P20230404,M01359,2023-08-24,Completed,90
R0000623,P20230404,M00948,2023-08-06,Completed,75
R0000624,P20230404,M00246,2023-08-03,Completed,90
R0000625,P20230404,M00952,2023-08-02,Completed,90
R0000626,P20230404,M00066,2023-08-15,Completed,75
R0000627,P20230405,M00152,2023-09-20,Completed,105
R0000628,P20230405,M00970,2023-09-06,Completed,110
R0000629,P20230405,M00107,2023-09-11,Completed,120
R0000630,P20230405,M00274,2023-09-14,Completed,110
R0000631,P20230405,M00260,2023-09-05,Completed,120
R0000632,P20230405,M01057,2023-09-08,Completed,120
R0000633,P20230405,M00776,2023-09-05,Completed,120
R0000634,P20230405,M01222,2023-09-23,Completed,120
R0000635,P20230405,M00909,2023-09-06,Completed,120
R0000636,P20230405,M01236,2023-09-04,Completed,110
R0000637,P20230405,M00115,2023-09-03,Completed,120
R0000638,P20230405,M01387,2023-09-16,Completed,105
R0000639,P20230405,M01354,2023-09-18,Completed,120
R0000640,P20230405,M00967,2023-09-01,Completed,110
R0000641,P20230405,M00977,2023-09-02,Completed,110
R0000642,P20230405,M00386,2023-09-14,Completed,120
R0000643,P20230405,M00120,2023-09-22,Cancelled,105
R0000644,P20230405,M00479,2023-09-19,Completed,110
R0000645,P20230405,M01014,2023-09-06,Completed,110
R0000646,P20230405,M00099,2023-09-13,Completed,120
R0000647,P20230406,M00504,2023-06-07,Completed,45
R0000648,P20230406,M00736,2023-06-19,Completed,45
R0000649,P20230406,M01208,2023-06-24,Completed,30
R0000650,P20230406,M01399,2023-06-20,Cancelled,45
R0000651,P20230406,M01184,2023-06-23,Completed,45
R0000652,P20230406,M00457,2023-06-02,Completed,35
R0000653,P20230406,M01212,2023-06-14,Completed,45
R0000654,P20230406,M01142,2023-06-24,Completed,45
R0000655,P20230406,M00264,2023-06-14,Completed,35
R0000656,P20230406,M00067,2023-06-22,Completed,35
R0000657,P20230406,M00813,2023-06-10,Completed,45
R0000658,P20230406,M00234,2023-06-07,Completed,30
R0000659,P20230406,M00283,2023-06-24,Completed,45
R0000660,P20230406,M01051,2023-06-05,Completed,45
R0000661,P20230406,M01050,2023-06-04,Completed,45
R0000662,P20230407,M01214,2023-10-03,Completed,75
R0000663,P20230407,M00821,2023-10-06,Completed,90
R0000664,P20230407,M00455,2023-10-07,Completed,90
R0000665,P20230407,M00025,2023-10-17,Completed,90
R0000666,P20230407,M01251,2023-10-09,Completed,90
R0000667,P20230407,M00373,2023-10-17,Cancelled,90
R0000668,P20230407,M00012,2023-10-02,Cancelled,75
R0000669,P20230407,M00130,2023-10-19,Completed,90
R0000670,P20230407,M01164,2023-10-20,Completed,75
R0000671,P20230407,M01276,2023-10-05,Completed,75
R0000672,P20230407,M00143,2023-10-02,Completed,90
R0000673,P20230407,M01045,2023-10-03,Cancelled,90
R0000674,P20230407,M00662,2023-10-21,Completed,75
R0000675,P20230407,M00416,2023-10-14,Completed,90
R0000676,P20230407,M00558,2023-10-13,Cancelled,90
R0000677,P20230407,M00520,2023-10-25,Completed,90
R0000678,P20230407,M01175,2023-10-21,Completed,80
R0000679,P20230407,M00690,2023-10-11,Completed,90
R0000680,P20230407,M01344,2023-10-09,Completed,80
R0000681,P20230407,M00827,2023-10-14,Completed,75
R0000682,P20230408,M00037,2023-01-12,Completed,30
R0000683,P20230408,M01049,2023-01-11,Completed,35
R0000684,P20230408,M00741,2023-01-08,Completed,30
R0000685,P20230408,M00756,2023-01-15,Completed,45
R0000686,P20230408,M00956,2023-01-15,Completed,45
R0000687,P20230408,M00436,2023-01-20,Completed,45
R0000688,P20230408,M00377,2023-01-01,Cancelled,45
R0000689,P20230408,M00203,2023-01-13,Completed,45
R0000690,P20230408,M00262,2023-01-18,Completed,30
R0000691,P20230408,M00838,2023-01-11,Completed,45
R0000692,P20230408,M00857,2023-01-18,Completed,45
R0000693,P20230408,M00577,2023-01-25,Completed,45
R0000694,P20230408,M00842,2023-01-05,Completed,35
R0000695,P20230408,M00502,2023-01-18,Completed,35
R0000696,P20230408,M00088,2023-01-17,Completed,35
R0000697,P20230408,M00292,2023-01-18,Cancelled,45
R0000698,P20230408,M01227,2023-01-01,Completed,30
R0000699,P20230408,M00744,2023-01-17,Completed,35
R0000700,P20230408,M00866,2023-01-11,Completed,45
R0000701,P20230408,M01143,2023-01-06,Completed,30
R0000702,P20230408,M00763,2023-01-16,Completed,35
R0000703,P20230408,M00376,2023-01-21,Completed,35
R0000704,P20230408,M01125,2023-01-21,Completed,45
R0000705,P20230408,M00982,2023-01-11,No-show,45
R0000706,P20230408,M01176,2023-01-20,Completed,45
R0000707,P20230408,M01356,2023-01-16,Completed,35
R0000708,P20230408,M00732,2023-01-11,Completed,45
R0000709,P20230408,M01048,2023-01-21,Cancelled,45
R0000710,P20240101,M00566,2024-06-08,Completed,60
R0000711,P20240101,M00798,2024-06-03,Completed,60
R0000712,P20240101,M00255,2024-06-06,Completed,60
R0000713,P20240101,M00839,2024-06-09,Cancelled,60
R0000714,P20240101,M00349,2024-06-25,Completed,50
R0000715,P20240101,M00491,2024-06-25,Completed,45
R0000716,P20240101,M00751,2024-06-20,Completed,45
R0000717,P20240101,M00854,2024-06-14,Completed,45
R0000718,P20240101,M01252,2024-06-13,No-show,60
R0000719,P20240101,M01397,2024-06-23,Completed,60
R0000720,P20240101,M01192,2024-06-22,Completed,60
R0000721,P20240101,M01128,2024-06-06,Completed,50
R0000722,P20240101,M01289,2024-06-02,Completed,60
R0000723,P20240101,M00208,2024-06-20,Cancelled,60
R0000724,P20240101,M00201,2024-06-13,Completed,60
R0000725,P20240101,M00029,2024-06-18,Completed,60
R0000726,P20240101,M00595,2024-06-22,Completed,60
R0000727,P20240101,M01359,2024-06-15,Completed,60
R0000728,P20240101,M00069,2024-06-09,Completed,60
R0000729,P20240101,M00242,2024-06-23,Completed,45
R0000730,P20240101,M01358,2024-06-22,Completed,60
R0000731,P20240101,M00519,2024-06-03,Completed,60
R0000732,P20240101,M00314,2024-06-18,Completed,60
R0000733,P20240101,M00936,2024-06-08,Completed,60
R0000734,P20240101,M00633,2024-06-18,Completed,45
R0000735,P20240101,M00462,2024-06-08,Completed,60
R0000736,P20240101,M00256,2024-06-13,Completed,60
R0000737,P20240101,M01184,2024-06-24,Completed,60
R0000738,P20240101,M00564,2024-06-20,Completed,60
R0000739,P20240101,M00875,2024-06-19,Cancelled,45
R0000740,P20240102,M00132,2024-01-25,Completed,75
R0000741,P20240102,M00399,2024-01-25,Completed,75
R0000742,P20240102,M01358,2024-01-23,Completed,75
R0000743,P20240102,M00264,2024-01-01,No-show,75
R0000744,P20240102,M00212,2024-01-13,Completed,60
R0000745,P20240102,M00511,2024-01-13,Cancelled,65
R0000746,P20240102,M00794,2024-01-25,Completed,60
R0000747,P20240102,M01319,2024-01-07,Completed,75
R0000748,P20240102,M00656,2024-01-14,Completed,75
R0000749,P20240102,M00322,2024-01-05,Completed,60
R0000750,P20240102,M01084,2024-01-13,Completed,60
R0000751,P20240102,M00368,2024-01-12,Completed,75
R0000752,P20240102,M01002,2024-01-10,Completed,60
R0000753,P20240102,M00156,2024-01-23,Completed,75
R0000754,P20240102,M00857,2024-01-19,Completed,75
R0000755,P20240102,M00320,2024-01-06,Completed,65
R0000756,P20240102,M00613,2024-01-24,Completed,65
R0000757,P20240102,M00803,2024-01-05,Completed,65
R0000758,P20240102,M01298,2024-01-04,Completed,75
R0000759,P20240102,M00349,2024-01-05,Completed,75
R0000760,P20240102,M00216,2024-01-06,Completed,65
R0000761,P20240102,M01336,2024-01-25,Completed,60
R0000762,P20240102,M00226,2024-01-21,Completed,60
R0000763,P20240102,M00914,2024-01-02,Completed,60
R0000764,P20240102,M00967,2024-01-04,Completed,60
R0000765,P20240102,M00356,2024-01-20,Completed,75
R0000766,P20240102,M00018,2024-01-21,Completed,60
R0000767,P20240102,M01248,2024-01-22,Completed,75
R0000768,P20240102,M01005,2024-01-13,Completed,75
R0000769,P20240103,M00350,2024-06-06,Completed,90
R0000770,P20240103,M01003,2024-06-03,Completed,80
R0000771,P20240103,M00670,2024-06-03,Completed,90
R0000772,P20240103,M00690,2024-06-25,Completed,90
R0000773,P20240103,M00089,2024-06-18,Completed,90
R0000774,P20240103,M00814,2024-06-22,Completed,75
R0000775,P20240103,M00700,2024-06-12,Completed,80
R0000776,P20240103,M00964,2024-06-19,Completed,90
R0000777,P20240103,M01044,2024-06-01,Completed,90
R0000778,P20240103,M00384,2024-06-17,Completed,75
R0000779,P20240103,M00082,2024-06-10,Completed,90
R0000780,P20240103,M00400,2024-06-10,Completed,90
R0000781,P20240103,M00206,2024-06-23,Completed,90
R0000782,P20240103,M00397,2024-06-17,Completed,90
R0000783,P20240103,M01370,2024-06-20,Completed,90
R0000784,P20240103,M00116,2024-06-08,Completed,75
R0000785,P20240103,M01274,2024-06-05,Completed,90
R0000786,P20240103,M01006,2024-06-07,Completed,90
R0000787,P20240103,M00294,2024-06-14,Completed,90
R0000788,P20240103,M00969,2024-06-04,Completed,90
R0000789,P20240103,M00533,2024-06-02,Completed,80
R0000790,P20240103,M00980,2024-06-25,Completed,75
R0000791,P20240103,M00936,2024-06-07,Completed,75
R0000792,P20240103,M00235,2024-06-13,Completed,90
R0000793,P20240103,M00717,2024-06-17,Completed,90
R0000794,P20240103,M01389,2024-06-04,Completed,80
R0000795,P20240103,M00036,2024-06-22,Completed,80
R0000796,P20240103,M01271,2024-06-23,Completed,90
R0000797,P20240103,M00469,2024-06-17,Completed,90
R0000798,P20240103,M01251,2024-06-15,Completed,90
R0000799,P20240103,M00301,2024-06-25,Completed,90
R0000800,P20240103,M00381,2024-06-14,Completed,90
R0000801,P20240103,M00832,2024-06-14,Completed,75
R0000802,P20240103,M00883,2024-06-24,Completed,80
R0000803,P20240103,M00435,2024-06-20,Completed,90
R0000804,P20240103,M00050,2024-06-24,Cancelled,90
R0000805,P20240103,M00843,2024-06-23,Completed,75
R0000806,P20240103,M01168,2024-06-20,Completed,75
R0000807,P20240104,M00559,2024-01-02,Completed,60
R0000808,P20240104,M00550,2024-01-25,Completed,65
R0000809,P20240104,M01000,2024-01-01,Completed,65
R0000810,P20240104,M00881,2024-01-09,Completed,75
R0000811,P20240104,M00915,2024-01-17,Cancelled,75
R0000812,P20240104,M00186,2024-01-20,Completed,75
R0000813,P20240104,M00970,2024-01-21,Completed,75
R0000814,P20240104,M00168,2024-01-09,Completed,60
R0000815,P20240104,M00803,2024-01-06,Completed,75
R0000816,P20240104,M00611,2024-01-05,Completed,60
R0000817,P20240104,M00660,2024-01-14,Completed,75
R0000818,P20240104,M00972,2024-01-18,Completed,75
R0000819,P20240104,M00193,2024-01-18,Completed,75
R0000820,P20240104,M00403,2024-01-03,Completed,60
R0000821,P20240105,M00478,2024-08-08,Completed,90
R0000822,P20240105,M00068,2024-08-12,Completed,90
R0000823,P20240105,M00596,2024-08-02,Cancelled,80
R0000824,P20240105,M01068,2024-08-11,No-show,90
R0000825,P20240105,M00967,2024-08-15,Completed,90
R0000826,P20240105,M00423,2024-08-13,Completed,90
R0000827,P20240105,M01113,2024-08-21,Cancelled,80
R0000828,P20240105,M00180,2024-08-24,Completed,90
R0000829,P20240105,M01299,2024-08-23,Completed,75
R0000830,P20240105,M00470,2024-08-04,Completed,90
R0000831,P20240105,M00195,2024-08-25,Cancelled,80
R0000832,P20240105,M01199,2024-08-21,Completed,90
R0000833,P20240105,M00674,2024-08-09,Completed,90
R0000834,P20240105,M00105,2024-08-06,No-show,90
R0000835,P20240105,M00774,2024-08-04,Cancelled,75
R0000836,P20240105,M00511,2024-08-23,Completed,90
R0000837,P20240105,M00707,2024-08-04,Completed,80
R0000838,P20240105,M00253,2024-08-20,Cancelled,75
R0000839,P20240105,M00253,2024-08-03,Completed,90
R0000840,P20240105,M00785,2024-08-22,Completed,75
R0000841,P20240105,M00254,2024-08-02,Completed,90
R0000842,P20240105,M00796,2024-08-24,Completed,90
R0000843,P20240106,M00319,2024-09-13,Completed,60
R0000844,P20240106,M01252,2024-09-07,Completed,50
R0000845,P20240106,M00829,2024-09-19,Completed,45
R0000846,P20240106,M00731,2024-09-05,Completed,50
R0000847,P20240106,M01075,2024-09-18,Completed,60
R0000848,P20240106,M00678,2024-09-02,Cancelled,50
R0000849,P20240106,M00735,2024-09-14,Completed,45
R0000850,P20240106,M01280,2024-09-02,Completed,60
R0000851,P20240106,M00227,2024-09-14,Completed,60
R0000852,P20240106,M01115,2024-09-10,Completed,60
R0000853,P20240106,M01238,2024-09-02,Completed,60
R0000854,P20240106,M00865,2024-09-21,Completed,60
R0000855,P20240106,M00536,2024-09-01,Completed,50
R0000856,P20240106,M00525,2024-09-23,Completed,60
R0000857,P20240106,M01248,2024-09-01,Completed,45
R0000858,P20240106,M00216,2024-09-11,Completed,45
R0000859,P20240106,M00312,2024-09-07,Completed,60
R0000860,P20240106,M00582,2024-09-25,Completed,60
R0000861,P20240106,M00027,2024-09-15,Completed,60
R0000862,P20240106,M00210,2024-09-21,Completed,45
R0000863,P20240106,M00486,2024-09-10,Completed,60
R0000864,P20240106,M00250,2024-09-11,Cancelled,60
R0000865,P20240106,M00775,2024-09-25,Completed,60
R0000866,P20240106,M00113,2024-09-11,Completed,60
R0000867,P20240106,M00361,2024-09-01,Completed,50
R0000868,P20240106,M00890,2024-09-24,Completed,45
R0000869,P20240106,M01365,2024-09-03,Completed,60
R0000870,P20240106,M01222,2024-09-04,Cancelled,60
R0000871,P20240106,M01323,2024-09-17,Completed,50
R0000872,P20240106,M00312,2024-09-10,Cancelled,60
R0000873,P20240106,M00546,2024-09-13,Completed,50
R0000874,P20240106,M00897,2024-09-07,Completed,60
R0000875,P20240106,M00131,2024-09-14,Completed,45
R0000876,P20240106,M00137,2024-09-10,Completed,60
R0000877,P20240106,M01049,2024-09-19,Completed,60
R0000878,P20240106,M00174,2024-09-25,Completed,50
R0000879,P20240107,M00331,2024-08-17,Completed,60
R0000880,P20240107,M00315,2024-08-07,Completed,45
R0000881,P20240107,M00279,2024-08-08,Completed,50
R0000882,P20240107,M00838,2024-08-11,Completed,45
R0000883,P20240107,M00050,2024-08-21,Completed,60
R0000884,P20240107,M01084,2024-08-02,Completed,60
R0000885,P20240107,M01208,2024-08-19,Completed,60
R0000886,P20240107,M01384,2024-08-12,Completed,60
R0000887,P20240107,M01265,2024-08-10,Completed,50
R0000888,P20240107,M00531,2024-08-25,Completed,60
R0000889,P20240107,M01043,2024-08-22,Completed,60
R0000890,P20240107,M01110,2024-08-03,Completed,60
R0000891,P20240108,M01240,2024-04-13,Completed,65
R0000892,P20240108,M00803,2024-04-24,Completed,75
R0000893,P20240108,M00157,2024-04-21,Completed,65
R0000894,P20240108,M00014,2024-04-12,Completed,75
R0000895,P20240108,M01039,2024-04-21,Completed,65
R0000896,P20240108,M00022,2024-04-22,Completed,65
R0000897,P20240108,M00354,2024-04-06,Completed,60
R0000898,P20240108,M00824,2024-04-20,Completed,60
R0000899,P20240108,M00399,2024-04-24,Cancelled,75
R0000900,P20240108,M00922,2024-04-16,Completed,65
R0000901,P20240108,M00929,2024-04-23,Completed,65
R0000902,P20240108,M01127,2024-04-17,Completed,75
R0000903,P20240108,M00814,2024-04-01,Completed,75
R0000904,P20240201,M01125,2024-04-19,Completed,75
R0000905,P20240201,M00652,2024-04-11,Completed,90
R0000906,P20240201,M01271,2024-04-20,Completed,90
R0000907,P20240201,M00526,2024-04-06,Completed,80
R0000908,P20240201,M00382,2024-04-11,Completed,90
R0000909,P20240201,M00882,2024-04-11,Completed,75
R0000910,P20240201,M01092,2024-04-18,Completed,80
R0000911,P20240201,M01197,2024-04-20,Completed,90
R0000912,P20240201,M00679,2024-04-10,No-show,75
R0000913,P20240201,M00529,2024-04-14,Completed,75
R0000914,P20240201,M00476,2024-04-05,Completed,90
R0000915,P20240201,M01370,2024-04-06,Completed,90
R0000916,P20240201,M00342,2024-04-03,Completed,90
R0000917,P20240201,M00821,2024-04-16,Completed,75
R0000918,P20240201,M00346,2024-04-09,Completed,90
R0000919,P20240201,M00357,2024-04-06,Completed,75
R0000920,P20240201,M01362,2024-04-22,Completed,75
R0000921,P20240201,M00536,2024-04-15,Completed,75
R0000922,P20240201,M01118,2024-04-03,Cancelled,90
R0000923,P20240201,M00637,2024-04-22,Completed,90
R0000924,P20240202,M00158,2024-01-10,Completed,50
R0000925,P20240202,M00334,2024-01-01,Completed,60
R0000926,P20240202,M01348,2024-01-03,Completed,45
R0000927,P20240202,M01175,2024-01-20,Completed,50
R0000928,P20240202,M00260,2024-01-02,Completed,45
R0000929,P20240202,M00651,2024-01-12,Completed,60
R0000930,P20240202,M00979,2024-01-11,Completed,50
R0000931,P20240202,M01311,2024-01-07,Completed,60
R0000932,P20240202,M00680,2024-01-19,Cancelled,60
R0000933,P20240202,M00939,2024-01-04,Cancelled,60
R0000934,P20240202,M00030,2024-01-16,Completed,60
R0000935,P20240202,M01288,2024-01-13,Completed,60
R0000936,P20240202,M00192,2024-01-22,Completed,50
R0000937,P20240202,M00763,2024-01-15,Completed,50
R0000938,P20240202,M01148,2024-01-15,No-show,60
R0000939,P20240202,M00383,2024-01-12,Cancelled,60
R0000940,P20240202,M00915,2024-01-06,Cancelled,45
R0000941,P20240202,M00273,2024-01-19,Cancelled,50
R0000942,P20240202,M01104,2024-01-25,Completed,50
R0000943,P20240202,M00448,2024-01-24,Completed,60
R0000944,P20240202,M00013,2024-01-20,Completed,45
R0000945,P20240202,M00600,2024-01-03,Completed,50
R0000946,P20240202,M01096,2024-01-22,Completed,60
R0000947,P20240202,M01395,2024-01-15,Completed,60
R0000948,P20240202,M00453,2024-01-10,Completed,60
R0000949,P20240202,M01302,2024-01-21,Cancelled,60
R0000950,P20240202,M00101,2024-01-04,Completed,45
R0000951,P20240202,M00237,2024-01-16,Completed,50
R0000952,P20240202,M00758,2024-01-13,Completed,50
R0000953,P20240202,M01193,2024-01-15,Completed,60
R0000954,P20240202,M01190,2024-01-12,Completed,60
R0000955,P20240202,M00513,2024-01-25,Completed,60
R0000956,P20240203,M00467,2024-10-25,Completed,60
R0000957,P20240203,M00407,2024-10-22,Completed,60
R0000958,P20240203,M01191,2024-10-08,Completed,60
R0000959,P20240203,M00161,2024-10-06,Cancelled,65
R0000960,P20240203,M00528,2024-10-16,Completed,75
R0000961,P20240203,M00439,2024-10-25,Completed,65
R0000962,P20240203,M00779,2024-10-18,Completed,75
R0000963,P20240203,M00158,2024-10-08,Completed,65
R0000964,P20240203,M00471,2024-10-07,Cancelled,75
R0000965,P20240203,M01004,2024-10-18,Completed,75
R0000966,P20240203,M00864,2024-10-10,Completed,75
R0000967,P20240203,M00807,2024-10-13,Completed,75
R0000968,P20240203,M00885,2024-10-04,Completed,75
R0000969,P20240203,M01134,2024-10-01,Cancelled,60
R0000970,P20240203,M00521,2024-10-10,Completed,60
R0000971,P20240203,M00941,2024-10-22,Completed,75
R0000972,P20240203,M01144,2024-10-11,Completed,60
R0000973,P20240203,M00403,2024-10-23,Completed,75
R0000974,P20240203,M00617,2024-10-17,Completed,60
R0000975,P20240203,M00556,2024-10-01,Completed,75
R0000976,P20240203,M00729,2024-10-14,Completed,75
R0000977,P20240203,M00713,2024-10-01,Completed,75
R0000978,P20240203,M00578,2024-10-22,Completed,75
R0000979,P20240203,M00552,2024-10-19,Completed,75
R0000980,P20240203,M00483,2024-10-18,Completed,65
R0000981,P20240203,M00374,2024-10-18,Completed,75
R0000982,P20240203,M00901,2024-10-03,Completed,75
R0000983,P20240203,M01355,2024-10-19,Completed,65
R0000984,P20240203,M00019,2024-10-24,Completed,75
R0000985,P20240203,M00927,2024-10-20,Completed,60
R0000986,P20240204,M00484,2024-09-07,Completed,80
R0000987,P20240204,M00497,2024-09-19,Completed,90
R0000988,P20240204,M00707,2024-09-06,Completed,80
R0000989,P20240204,M00460,2024-09-02,Completed,90
R0000990,P20240204,M00960,2024-09-01,Completed,80
R0000991,P20240204,M00805,2024-09-04,Cancelled,90
R0000992,P20240204,M01288,2024-09-10,Completed,90
R0000993,P20240204,M00231,2024-09-19,Completed,80
R0000994,P20240204,M00091,2024-09-09,Completed,90
R0000995,P20240204,M00863,2024-09-19,Completed,90
R0000996,P20240204,M01186,2024-09-15,Completed,90
R0000997,P20240204,M00471,2024-09-17,Completed,80
R0000998,P20240204,M01182,2024-09-22,Completed,80
R0000999,P20240204,M00952,2024-09-03,Completed,75
R0001000,P20240204,M00236,2024-09-19,Completed,90
R0001001,P20240204,M00345,2024-09-24,Completed,90
R0001002,P20240204,M00178,2024-09-18,Completed,90
R0001003,P20240204,M00558,2024-09-21,Completed,75
R0001004,P20240204,M00610,2024-09-24,Completed,90
R0001005,P20240204,M00882,2024-09-14,No-show,75
R0001006,P20240204,M00924,2024-09-20,Completed,90
R0001007,P20240204,M00458,2024-09-04,Completed,90
R0001008,P20240204,M00888,2024-09-07,Completed,80
R0001009,P20240204,M01148,2024-09-18,Completed,90
R0001010,P20240204,M00270,2024-09-01,No-show,90
R0001011,P20240204,M00864,2024-09-07,Completed,90
R0001012,P20240204,M00830,2024-09-01,Cancelled,90
R0001013,P20240204,M01274,2024-09-06,Completed,75
R0001014,P20240204,M00050,2024-09-20,Completed,90
R0001015,P20240204,M00604,2024-09-19,Completed,80
R0001016,P20240204,M00340,2024-09-23,Completed,75
R0001017,P20240204,M00692,2024-09-21,Completed,90
R0001018,P20240204,M01373,2024-09-09,No-show,80
R0001019,P20240205,M00486,2024-01-07,Completed,90
R0001020,P20240205,M01096,2024-01-14,Completed,90
R0001021,P20240205,M00361,2024-01-11,Completed,90
R0001022,P20240205,M01117,2024-01-11,Completed,90
R0001023,P20240205,M00489,2024-01-11,Completed,80
R0001024,P20240205,M00841,2024-01-22,Completed,75
R0001025,P20240205,M00515,2024-01-11,Completed,75
R0001026,P20240205,M00811,2024-01-06,No-show,90
R0001027,P20240205,M00483,2024-01-21,Completed,75
