member_id,join_year,home_facility_id,age_group,membership_type,acquisition_channel,visits_first_90_days,visits_first_membership_year,program_registrations_first_year,active_years_observed,contribution_margin_observed,retained_after_first_period
M00355,2024,F01,50-64,Family annual,Referral,18,19,2,2,655.2,1
M00356,2025,F04,35-49,Adult annual,Paid social,4,11,0,1,237.6,Censored
M00357,2022,F04,35-49,Monthly flexible,Referral,2,2,2,2,383.35,1
M00358,2022,F01,Under 18,Senior annual,Organic web,15,29,3,4,516.6,1
M00359,2022,F04,18-34,Adult annual,Organic web,3,6,0,1,226.6,0
M00360,2024,F01,35-49,Senior annual,Community event,5,22,3,2,253.8,1
M00361,2024,F01,50-64,Adult annual,Referral,10,25,2,2,475.2,1
M00362,2023,F01,50-64,Adult annual,Referral,3,3,0,3,701.8,1
M00363,2023,F03,50-64,Senior annual,Community event,8,19,6,3,421.2,1
M00364,2023,F02,65+,Senior annual,Referral,11,21,0,3,421.2,1
M00365,2023,F02,65+,Family annual,Paid social,7,23,4,3,943.8,1
M00366,2025,F01,18-34,Senior annual,Referral,2,2,2,1,140.4,Censored
M00367,2023,F02,18-34,Adult annual,Paid social,13,13,5,3,690.8,1
M00368,2023,F01,35-49,Monthly flexible,Referral,1,1,2,1,196.8,0
M00369,2024,F01,18-34,Adult annual,Walk-in,7,16,0,2,475.2,1
M00370,2022,F04,18-34,Monthly flexible,Organic web,5,15,2,2,342.35,1
M00371,2022,F01,18-34,Monthly flexible,Paid social,1,5,1,4,756.45,1
M00372,2025,F04,Under 18,Youth annual,Walk-in,4,9,2,1,93,Censored
M00373,2022,F04,65+,Family annual,Referral,17,37,4,4,1271.4,1
M00374,2023,F03,35-49,Youth annual,Paid social,7,20,3,3,279,1
M00375,2023,F01,18-34,Family annual,Organic web,10,40,1,3,953.55,1
M00376,2024,F03,35-49,Adult annual,Referral,12,27,4,2,464.2,1
M00377,2024,F01,18-34,Monthly flexible,Walk-in,6,8,0,2,393.6,1
M00378,2022,F01,35-49,Adult annual,Community event,10,20,2,2,475.2,1
M00379,2024,F04,18-34,Monthly flexible,Organic web,6,9,1,2,393.6,1
M00380,2022,F01,18-34,Senior annual,Referral,10,19,2,1,131.4,0
M00381,2024,F02,Under 18,Monthly flexible,Paid social,3,3,0,2,383.35,1
M00382,2025,F01,50-64,Monthly flexible,Referral,4,6,2,1,196.8,Censored
M00383,2023,F02,35-49,Monthly flexible,Walk-in,4,4,2,2,383.35,1
M00384,2024,F02,18-34,Family annual,Community event,8,42,5,2,655.2,1
M00385,2023,F04,18-34,Family annual,Email,2,2,1,3,953.55,1
M00386,2025,F01,18-34,Adult annual,Email,15,32,2,1,237.6,Censored
M00387,2024,F04,50-64,Youth annual,Organic web,4,13,1,1,93,0
M00388,2023,F01,18-34,Youth annual,Organic web,6,6,1,3,279,1
M00389,2022,F01,65+,Monthly flexible,Organic web,5,9,1,4,766.7,1
M00390,2024,F04,65+,Youth annual,Walk-in,15,15,3,2,170.5,1
M00391,2025,F01,35-49,Senior annual,Organic web,4,4,1,1,140.4,Censored
M00392,2023,F04,35-49,Monthly flexible,Community event,7,12,0,3,569.9,1
M00393,2023,F01,18-34,Adult annual,Organic web,4,5,1,1,237.6,0
M00394,2024,F04,18-34,Monthly flexible,Walk-in,0,3,3,1,196.8,0
M00395,2023,F03,18-34,Adult annual,Paid social,9,9,3,1,237.6,0
M00396,2025,F01,50-64,Monthly flexible,Organic web,3,10,3,1,196.8,Censored
M00397,2024,F03,50-64,Adult annual,Email,7,9,2,2,442.2,1
M00398,2025,F01,Under 18,Youth annual,Organic web,13,27,3,1,93,Censored
M00399,2023,F01,65+,Family annual,Walk-in,7,12,0,2,645.45,1
M00400,2023,F04,18-34,Adult annual,Walk-in,12,31,0,3,701.8,1
M00401,2022,F01,65+,Adult annual,Organic web,8,17,4,4,906.4,1
M00402,2023,F03,18-34,Senior annual,Walk-in,5,26,0,1,140.4,0
M00403,2024,F01,50-64,Monthly flexible,Paid social,3,3,1,2,393.6,1
M00404,2025,F01,18-34,Adult annual,Walk-in,7,20,2,1,237.6,Censored
M00405,2024,F03,65+,Monthly flexible,Paid social,4,16,3,2,393.6,1
M00406,2025,F04,35-49,Family annual,Referral,11,11,2,1,327.6,Censored
M00407,2025,F04,50-64,Adult annual,Organic web,8,13,1,1,237.6,Censored
M00408,2022,F02,50-64,Monthly flexible,Community event,6,12,0,4,766.7,1
M00409,2024,F04,35-49,Monthly flexible,Organic web,2,15,1,2,393.6,1
M00410,2023,F02,18-34,Adult annual,Email,7,13,0,2,475.2,1
M00411,2023,F04,18-34,Family annual,Organic web,3,3,0,1,327.6,0
M00412,2023,F01,35-49,Senior annual,Paid social,15,20,2,1,113.4,0
M00413,2023,F04,Under 18,Monthly flexible,Community event,6,9,3,3,569.9,1
M00414,2022,F04,50-64,Family annual,Referral,3,3,1,1,327.6,0
M00415,2025,F01,50-64,Family annual,Referral,15,46,6,1,327.6,Censored
M00416,2022,F03,50-64,Monthly flexible,Referral,5,5,3,1,196.8,0
M00417,2025,F02,50-64,Youth annual,Referral,3,3,2,1,93,Censored
M00418,2022,F01,35-49,Family annual,Email,11,22,2,3,982.8,1
M00419,2024,F02,18-34,Family annual,Organic web,3,8,0,2,645.45,1
M00420,2023,F04,50-64,Monthly flexible,Paid social,3,3,1,3,580.15,1
M00421,2023,F03,Under 18,Family annual,Walk-in,13,51,2,3,982.8,1
M00422,2023,F02,Under 18,Family annual,Walk-in,15,33,1,3,963.3,1
M00423,2023,F04,50-64,Adult annual,Referral,12,21,4,3,712.8,1
M00424,2024,F03,50-64,Monthly flexible,Organic web,1,1,3,2,393.6,1
M00425,2025,F04,18-34,Youth annual,Organic web,6,25,0,1,69.75,Censored
M00426,2025,F04,35-49,Senior annual,Email,4,4,5,1,140.4,Censored
M00427,2023,F01,35-49,Family annual,Email,10,29,0,3,982.8,1
M00428,2023,F04,50-64,Adult annual,Organic web,13,14,2,1,204.6,0
M00429,2022,F01,35-49,Family annual,Referral,23,29,3,4,1281.15,1
M00430,2022,F03,65+,Family annual,Community event,2,12,0,2,655.2,1
M00431,2025,F02,35-49,Adult annual,Paid social,13,32,2,1,204.6,Censored
M00432,2022,F03,65+,Adult annual,Walk-in,8,21,0,4,939.4,1
M00433,2023,F04,35-49,Youth annual,Organic web,7,9,1,3,263.5,1
M00434,2024,F01,65+,Senior annual,Organic web,6,8,2,1,131.4,0
M00435,2024,F03,Under 18,Family annual,Paid social,7,16,4,2,635.7,1
M00436,2023,F04,50-64,Adult annual,Organic web,2,3,1,3,679.8,1
M00437,2022,F03,65+,Adult annual,Organic web,12,14,2,4,917.4,1
M00438,2023,F02,35-49,Monthly flexible,Community event,1,4,1,3,528.9,1
M00439,2023,F01,50-64,Monthly flexible,Organic web,0,0,0,3,559.65,1
M00440,2023,F03,65+,Monthly flexible,Walk-in,4,8,4,1,176.3,0
M00441,2023,F02,18-34,Youth annual,Paid social,9,13,1,3,279,1
M00442,2024,F02,18-34,Senior annual,Paid social,7,17,3,2,262.8,1
M00443,2022,F01,50-64,Adult annual,Organic web,9,15,2,4,928.4,1
M00444,2024,F03,65+,Adult annual,Organic web,8,18,4,2,475.2,1
M00445,2025,F02,65+,Family annual,Paid social,14,35,2,1,317.85,Censored
M00446,2022,F02,50-64,Monthly flexible,Walk-in,9,16,1,2,393.6,1
M00447,2024,F02,35-49,Adult annual,Walk-in,7,29,3,2,475.2,1
M00448,2025,F01,18-34,Family annual,Walk-in,9,9,1,1,327.6,Censored
M00449,2023,F04,35-49,Adult annual,Organic web,7,11,3,3,668.8,1
M00450,2024,F04,50-64,Senior annual,Organic web,10,24,4,2,253.8,1
M00451,2023,F04,65+,Family annual,Paid social,6,19,3,2,655.2,1
M00452,2023,F04,35-49,Senior annual,Email,3,14,0,2,262.8,1
M00453,2022,F02,35-49,Youth annual,Organic web,5,16,1,1,69.75,0
M00454,2023,F04,35-49,Monthly flexible,Organic web,7,7,0,1,196.8,0
M00455,2022,F03,65+,Adult annual,Email,7,21,3,4,950.4,1
M00456,2023,F04,35-49,Adult annual,Paid social,9,23,2,3,712.8,1
M00457,2022,F04,35-49,Monthly flexible,Walk-in,3,7,0,1,196.8,0
M00458,2024,F01,65+,Senior annual,Walk-in,13,35,5,2,271.8,1
M00459,2023,F04,18-34,Monthly flexible,Email,6,17,4,3,580.15,1
M00460,2023,F03,18-34,Monthly flexible,Organic web,8,16,4,3,590.4,1
M00461,2025,F01,Under 18,Adult annual,Community event,15,15,5,1,237.6,Censored
M00462,2023,F01,35-49,Adult annual,Referral,14,34,2,2,464.2,1
M00463,2022,F01,50-64,Adult annual,Organic web,12,22,3,4,939.4,1
M00464,2023,F01,35-49,Senior annual,Paid social,6,14,2,3,421.2,1
M00465,2025,F01,35-49,Senior annual,Paid social,6,19,2,1,122.4,Censored
M00466,2025,F03,35-49,Adult annual,Email,7,21,1,1,237.6,Censored
M00467,2024,F01,18-34,Family annual,Referral,5,5,3,2,635.7,1
M00468,2025,F02,35-49,Youth annual,Community event,5,7,2,1,85.25,Censored
M00469,2024,F01,18-34,Senior annual,Organic web,10,37,3,2,280.8,1
M00470,2023,F01,65+,Adult annual,Paid social,14,37,1,1,237.6,0
M00471,2022,F02,18-34,Family annual,Referral,7,18,1,4,1310.4,1
M00472,2025,F01,Under 18,Family annual,Referral,7,22,1,1,327.6,Censored
M00473,2023,F01,50-64,Senior annual,Walk-in,8,8,4,3,394.2,1
M00474,2024,F04,35-49,Adult annual,Referral,3,9,2,2,475.2,1
M00475,2022,F01,18-34,Monthly flexible,Organic web,7,15,1,3,549.4,1
M00476,2024,F02,50-64,Adult annual,Community event,5,14,1,2,464.2,1
M00477,2023,F02,50-64,Monthly flexible,Organic web,5,10,3,3,559.65,1
M00478,2024,F02,35-49,Monthly flexible,Organic web,4,11,0,2,393.6,1
M00479,2022,F01,50-64,Adult annual,Community event,6,33,3,2,475.2,1
M00480,2022,F01,18-34,Adult annual,Community event,7,27,3,4,928.4,1
M00481,2022,F02,65+,Youth annual,Paid social,5,5,3,4,348.75,1
M00482,2024,F01,50-64,Adult annual,Paid social,5,13,2,2,442.2,1
M00483,2025,F02,18-34,Family annual,Referral,14,32,2,1,317.85,Censored
M00484,2024,F02,65+,Adult annual,Organic web,12,19,2,2,475.2,1
M00485,2024,F04,65+,Youth annual,Paid social,6,15,2,1,93,0
M00486,2024,F04,35-49,Family annual,Walk-in,12,26,1,2,655.2,1
M00487,2024,F01,50-64,Senior annual,Walk-in,5,9,2,2,280.8,1
M00488,2022,F02,35-49,Adult annual,Walk-in,3,7,2,1,226.6,0
M00489,2025,F01,50-64,Adult annual,Paid social,6,6,1,1,237.6,Censored
M00490,2024,F04,18-34,Family annual,Organic web,13,21,0,2,655.2,1
M00491,2024,F02,35-49,Adult annual,Walk-in,4,14,3,2,475.2,1
M00492,2024,F04,18-34,Family annual,Paid social,4,10,3,1,308.1,0
M00493,2025,F03,65+,Adult annual,Organic web,17,29,5,1,237.6,Censored
M00494,2024,F02,35-49,Family annual,Walk-in,9,29,1,2,655.2,1
M00495,2022,F04,65+,Family annual,Community event,6,23,1,4,1290.9,1
M00496,2025,F04,65+,Monthly flexible,Walk-in,2,4,1,1,196.8,Censored
M00497,2023,F04,65+,Monthly flexible,Community event,1,3,3,2,393.6,1
M00498,2024,F04,18-34,Family annual,Organic web,14,21,4,2,655.2,1
M00499,2024,F02,18-34,Adult annual,Community event,1,5,3,1,237.6,0
M00500,2023,F03,18-34,Monthly flexible,Community event,1,11,1,3,549.4,1
M00501,2023,F03,35-49,Family annual,Organic web,11,15,3,3,973.05,1
M00502,2024,F01,65+,Adult annual,Email,1,1,1,1,237.6,0
M00503,2025,F01,50-64,Family annual,Community event,6,13,1,1,317.85,Censored
M00504,2023,F02,18-34,Adult annual,Organic web,16,40,1,3,668.8,1
M00505,2022,F04,50-64,Senior annual,Paid social,5,23,3,4,525.6,1
M00506,2023,F03,35-49,Adult annual,Walk-in,7,10,1,3,690.8,1
M00507,2024,F02,Under 18,Monthly flexible,Paid social,2,8,3,2,373.1,1
M00508,2024,F01,50-64,Adult annual,Walk-in,5,5,2,2,475.2,1
M00509,2023,F01,18-34,Family annual,Paid social,3,3,0,3,982.8,1
M00510,2025,F01,35-49,Monthly flexible,Referral,2,2,0,1,196.8,Censored
M00511,2024,F02,50-64,Adult annual,Walk-in,2,2,2,2,475.2,1
M00512,2023,F04,65+,Adult annual,Organic web,7,7,3,3,657.8,1
M00513,2023,F03,35-49,Adult annual,Organic web,5,8,0,3,657.8,1
M00514,2022,F02,50-64,Adult annual,Paid social,4,10,2,1,237.6,0
M00515,2024,F01,18-34,Adult annual,Referral,10,16,4,1,237.6,0
M00516,2024,F04,50-64,Adult annual,Paid social,13,19,5,2,475.2,1
M00517,2023,F01,50-64,Monthly flexible,Paid social,3,3,2,2,383.35,1
M00518,2024,F03,18-34,Monthly flexible,Walk-in,8,10,2,2,393.6,1
M00519,2023,F01,65+,Adult annual,Organic web,4,4,7,3,701.8,1
M00520,2024,F03,50-64,Youth annual,Email,13,13,4,2,186,1
M00521,2025,F01,18-34,Adult annual,Paid social,11,22,3,1,237.6,Censored
M00522,2022,F02,50-64,Adult annual,Walk-in,14,30,0,3,712.8,1
M00523,2024,F02,50-64,Monthly flexible,Community event,8,8,1,2,373.1,1
M00524,2024,F01,35-49,Adult annual,Walk-in,8,9,0,2,442.2,1
M00525,2023,F01,18-34,Monthly flexible,Walk-in,0,1,1,1,186.55,0
M00526,2024,F04,35-49,Senior annual,Referral,4,9,5,1,140.4,0
M00527,2023,F04,35-49,Monthly flexible,Walk-in,11,27,2,3,580.15,1
M00528,2023,F02,Under 18,Adult annual,Referral,1,5,2,3,657.8,1
M00529,2025,F02,35-49,Senior annual,Referral,13,18,3,1,140.4,Censored
M00530,2022,F01,Under 18,Family annual,Organic web,11,31,2,1,327.6,0
M00531,2024,F04,35-49,Monthly flexible,Organic web,2,9,1,2,393.6,1
M00532,2023,F02,65+,Family annual,Paid social,18,32,4,3,973.05,1
M00533,2022,F02,50-64,Family annual,Referral,13,23,2,4,1310.4,1
M00534,2023,F04,18-34,Adult annual,Organic web,8,19,2,1,237.6,0
M00535,2024,F01,50-64,Adult annual,Organic web,10,20,1,2,475.2,1
M00536,2023,F04,18-34,Monthly flexible,Referral,4,10,4,3,590.4,1
M00537,2023,F04,18-34,Senior annual,Organic web,2,2,5,3,421.2,1
M00538,2025,F04,35-49,Youth annual,Walk-in,5,20,0,1,85.25,Censored
M00539,2025,F01,65+,Family annual,Community event,14,31,1,1,327.6,Censored
M00540,2025,F03,18-34,Monthly flexible,Paid social,5,9,1,1,166.05,Censored
M00541,2025,F01,35-49,Family annual,Paid social,13,18,4,1,327.6,Censored
M00542,2024,F01,18-34,Monthly flexible,Paid social,7,17,2,2,393.6,1
M00543,2022,F02,18-34,Monthly flexible,Paid social,4,9,2,4,766.7,1
M00544,2025,F04,50-64,Family annual,Community event,9,22,1,1,327.6,Censored
M00545,2025,F01,35-49,Senior annual,Community event,8,8,0,1,140.4,Censored
M00546,2025,F04,65+,Adult annual,Walk-in,6,6,2,1,237.6,Censored
M00547,2022,F01,50-64,Family annual,Email,14,35,5,1,327.6,0
M00548,2023,F02,18-34,Adult annual,Walk-in,12,41,3,2,475.2,1
M00549,2022,F03,50-64,Senior annual,Referral,2,4,2,1,140.4,0
M00550,2024,F02,Under 18,Adult annual,Referral,12,41,1,2,464.2,1
M00551,2025,F04,50-64,Family annual,Paid social,15,15,1,1,327.6,Censored
M00552,2023,F04,50-64,Monthly flexible,Walk-in,1,5,3,3,590.4,1
M00553,2024,F02,18-34,Adult annual,Organic web,9,9,1,2,464.2,1
M00554,2024,F01,50-64,Adult annual,Email,12,22,3,1,226.6,0
M00555,2023,F03,65+,Adult annual,Community event,10,17,2,3,679.8,1
M00556,2024,F04,Under 18,Monthly flexible,Referral,5,9,3,1,186.55,0
M00557,2024,F04,50-64,Senior annual,Organic web,6,20,3,2,271.8,1
M00558,2025,F01,35-49,Adult annual,Walk-in,4,7,2,1,237.6,Censored
M00559,2022,F02,35-49,Senior annual,Paid social,9,11,1,3,403.2,1
M00560,2023,F04,18-34,Family annual,Walk-in,14,28,2,3,982.8,1
M00561,2023,F01,50-64,Youth annual,Referral,14,18,3,3,255.75,1
M00562,2024,F01,35-49,Adult annual,Paid social,6,20,1,2,475.2,1
M00563,2023,F04,50-64,Monthly flexible,Paid social,2,4,0,1,196.8,0
M00564,2024,F01,35-49,Family annual,Organic web,12,23,4,2,655.2,1
M00565,2023,F01,18-34,Adult annual,Walk-in,13,25,0,1,237.6,0
M00566,2022,F01,Under 18,Adult annual,Walk-in,10,10,2,4,939.4,1
M00567,2025,F01,18-34,Senior annual,Email,4,5,2,1,140.4,Censored
M00568,2023,F01,65+,Family annual,Referral,5,5,1,3,963.3,1
M00569,2022,F03,Under 18,Monthly flexible,Community event,8,11,1,2,393.6,1
M00570,2024,F01,35-49,Adult annual,Paid social,6,7,1,1,226.6,0
M00571,2022,F04,18-34,Monthly flexible,Organic web,3,3,2,4,787.2,1
M00572,2023,F03,50-64,Family annual,Organic web,0,0,1,1,327.6,0
M00573,2023,F04,65+,Family annual,Organic web,10,13,7,1,317.85,0
M00574,2022,F02,35-49,Adult annual,Organic web,7,7,2,2,442.2,1
M00575,2025,F01,50-64,Adult annual,Community event,5,17,1,1,226.6,Censored
M00576,2022,F01,65+,Monthly flexible,Community event,10,24,1,1,196.8,0
M00577,2025,F02,65+,Senior annual,Referral,3,7,1,1,140.4,Censored
M00578,2024,F04,18-34,Adult annual,Walk-in,6,9,0,2,464.2,1
M00579,2024,F01,Under 18,Family annual,Paid social,23,32,3,2,655.2,1
M00580,2024,F03,18-34,Adult annual,Community event,3,7,3,2,475.2,1
M00581,2023,F03,35-49,Senior annual,Referral,4,6,1,1,122.4,0
M00582,2023,F04,50-64,Adult annual,Email,7,10,4,3,679.8,1
M00583,2024,F04,50-64,Senior annual,Referral,7,26,5,2,271.8,1
M00584,2024,F03,50-64,Monthly flexible,Organic web,2,2,4,1,196.8,0
M00585,2024,F02,65+,Senior annual,Walk-in,6,23,0,2,280.8,1
M00586,2024,F02,65+,Adult annual,Organic web,8,15,4,1,237.6,0
M00587,2023,F01,35-49,Monthly flexible,Walk-in,1,1,1,1,196.8,0
M00588,2025,F01,18-34,Youth annual,Referral,8,17,6,1,93,Censored
M00589,2023,F04,50-64,Family annual,Organic web,12,36,1,1,308.1,0
M00590,2025,F03,18-34,Adult annual,Paid social,13,37,3,1,204.6,Censored
M00591,2023,F03,50-64,Adult annual,Paid social,10,14,3,2,453.2,1
M00592,2024,F03,50-64,Adult annual,Referral,9,9,1,2,475.2,1
M00593,2023,F01,65+,Youth annual,Community event,8,22,0,2,186,1
M00594,2024,F03,35-49,Monthly flexible,Referral,4,8,3,1,186.55,0
M00595,2024,F01,50-64,Monthly flexible,Referral,4,5,2,2,362.85,1
M00596,2024,F03,65+,Family annual,Walk-in,12,29,3,2,655.2,1
M00597,2025,F03,50-64,Monthly flexible,Organic web,6,14,3,1,196.8,Censored
M00598,2024,F01,50-64,Adult annual,Paid social,6,13,2,2,475.2,1
M00599,2022,F01,65+,Senior annual,Organic web,7,15,2,2,262.8,1
M00600,2025,F03,35-49,Monthly flexible,Organic web,5,7,5,1,196.8,Censored
M00601,2023,F03,18-34,Youth annual,Email,6,11,1,2,186,1
M00602,2023,F03,35-49,Monthly flexible,Referral,4,16,6,3,590.4,1
M00603,2022,F01,50-64,Senior annual,Walk-in,9,28,1,3,412.2,1
M00604,2023,F02,65+,Adult annual,Referral,13,13,3,3,712.8,1
M00605,2024,F04,18-34,Family annual,Referral,6,23,0,2,655.2,1
M00606,2022,F02,35-49,Adult annual,Walk-in,14,14,1,4,939.4,1
M00607,2023,F04,50-64,Adult annual,Referral,13,31,2,3,679.8,1
M00608,2022,F03,50-64,Monthly flexible,Community event,1,7,1,4,776.95,1
M00609,2022,F03,50-64,Adult annual,Referral,5,5,2,3,690.8,1
M00610,2023,F03,50-64,Adult annual,Paid social,12,12,2,2,475.2,1
M00611,2024,F02,35-49,Adult annual,Paid social,16,43,4,2,475.2,1
M00612,2025,F02,50-64,Youth annual,Paid social,6,6,0,1,93,Censored
M00613,2024,F03,18-34,Monthly flexible,Paid social,4,10,2,1,176.3,0
M00614,2022,F02,65+,Adult annual,Organic web,7,18,1,4,939.4,1
M00615,2023,F03,35-49,Monthly flexible,Referral,5,7,2,1,196.8,0
M00616,2023,F02,35-49,Senior annual,Walk-in,16,20,4,3,394.2,1
M00617,2024,F01,50-64,Adult annual,Organic web,6,20,4,2,464.2,1
M00618,2022,F03,35-49,Adult annual,Paid social,10,21,1,4,939.4,1
M00619,2022,F01,18-34,Adult annual,Email,7,7,5,1,204.6,0
M00620,2023,F02,50-64,Adult annual,Paid social,11,16,4,3,712.8,1
M00621,2023,F03,35-49,Senior annual,Referral,4,4,4,3,394.2,1
M00622,2024,F04,Under 18,Family annual,Organic web,12,12,3,2,635.7,1
M00623,2025,F01,50-64,Monthly flexible,Referral,5,5,1,1,196.8,Censored
M00624,2023,F01,35-49,Monthly flexible,Referral,2,2,3,1,166.05,0
M00625,2022,F03,18-34,Monthly flexible,Organic web,2,6,2,2,373.1,1
M00626,2023,F04,Under 18,Adult annual,Community event,7,25,1,1,237.6,0
M00627,2022,F04,35-49,Youth annual,Referral,14,23,4,4,341,1
M00628,2024,F02,35-49,Adult annual,Paid social,6,6,1,2,475.2,1
M00629,2023,F04,50-64,Family annual,Walk-in,16,16,5,3,953.55,1
M00630,2023,F01,35-49,Family annual,Paid social,9,12,1,3,953.55,1
M00631,2024,F01,35-49,Adult annual,Walk-in,10,11,2,2,475.2,1
M00632,2025,F01,18-34,Senior annual,Community event,10,32,3,1,140.4,Censored
M00633,2022,F01,65+,Adult annual,Organic web,4,11,1,1,237.6,0
M00634,2024,F04,18-34,Adult annual,Walk-in,10,23,7,1,237.6,0
M00635,2024,F04,18-34,Family annual,Walk-in,6,17,3,1,298.35,0
M00636,2024,F01,65+,Family annual,Community event,14,22,4,2,645.45,1
M00637,2024,F04,50-64,Adult annual,Walk-in,13,30,3,2,464.2,1
M00638,2023,F04,18-34,Family annual,Organic web,7,10,2,3,963.3,1
M00639,2025,F01,35-49,Adult annual,Walk-in,6,6,3,1,237.6,Censored
M00640,2023,F01,65+,Family annual,Community event,17,45,5,3,963.3,1
M00641,2023,F02,18-34,Senior annual,Paid social,10,12,3,3,394.2,1
M00642,2025,F02,35-49,Youth annual,Organic web,6,15,1,1,85.25,Censored
M00643,2024,F01,35-49,Youth annual,Community event,5,5,2,2,170.5,1
M00644,2025,F04,18-34,Family annual,Referral,21,47,2,1,327.6,Censored
M00645,2025,F01,18-34,Monthly flexible,Organic web,6,19,3,1,196.8,Censored
M00646,2023,F03,35-49,Monthly flexible,Referral,5,9,1,1,196.8,0
M00647,2024,F02,18-34,Adult annual,Paid social,5,5,1,1,215.6,0
M00648,2022,F01,35-49,Monthly flexible,Walk-in,5,9,6,1,176.3,0
M00649,2025,F01,50-64,Family annual,Organic web,12,12,2,1,298.35,Censored
M00650,2024,F04,18-34,Youth annual,Walk-in,7,7,0,2,147.25,1
M00651,2024,F04,50-64,Adult annual,Organic web,7,12,0,2,475.2,1
M00652,2023,F01,65+,Family annual,Email,10,28,5,3,963.3,1
M00653,2024,F04,35-49,Monthly flexible,Community event,6,7,2,2,383.35,1
M00654,2024,F02,18-34,Adult annual,Organic web,2,6,2,1,226.6,0
M00655,2025,F04,Under 18,Senior annual,Community event,6,16,1,1,131.4,Censored
M00656,2024,F01,65+,Adult annual,Paid social,15,15,1,2,453.2,1
M00657,2024,F03,18-34,Adult annual,Organic web,1,1,1,2,475.2,1
M00658,2024,F02,35-49,Monthly flexible,Community event,9,15,2,2,393.6,1
M00659,2025,F03,18-34,Monthly flexible,Walk-in,3,8,1,1,196.8,Censored
M00660,2024,F02,65+,Senior annual,Walk-in,5,5,0,2,253.8,1
M00661,2024,F04,35-49,Youth annual,Walk-in,9,22,3,2,170.5,1
M00662,2022,F03,18-34,Senior annual,Referral,5,8,1,2,253.8,1
M00663,2024,F01,Under 18,Adult annual,Community event,7,33,4,2,475.2,1
M00664,2025,F04,18-34,Adult annual,Referral,8,12,2,1,226.6,Censored
M00665,2024,F02,35-49,Adult annual,Paid social,9,9,2,2,475.2,1
M00666,2025,F01,35-49,Adult annual,Organic web,6,13,2,1,215.6,Censored
M00667,2022,F02,35-49,Adult annual,Organic web,12,12,2,4,917.4,1
M00668,2024,F01,35-49,Family annual,Organic web,14,35,1,2,635.7,1
M00669,2022,F02,65+,Family annual,Organic web,8,20,2,1,308.1,0
M00670,2025,F04,50-64,Adult annual,Walk-in,4,19,2,1,237.6,Censored
M00671,2024,F03,18-34,Family annual,Community event,14,52,3,2,635.7,1
M00672,2023,F02,50-64,Senior annual,Community event,12,24,6,3,403.2,1
M00673,2024,F01,18-34,Adult annual,Walk-in,11,23,1,2,453.2,1
M00674,2023,F02,18-34,Youth annual,Organic web,12,27,1,3,271.25,1
M00675,2023,F01,35-49,Family annual,Organic web,15,36,6,3,953.55,1
M00676,2022,F01,Under 18,Adult annual,Community event,5,21,2,1,226.6,0
M00677,2022,F01,35-49,Adult annual,Walk-in,12,31,3,3,701.8,1
M00678,2023,F01,35-49,Senior annual,Community event,8,8,4,3,403.2,1
M00679,2023,F04,35-49,Adult annual,Organic web,5,16,1,1,237.6,0
M00680,2024,F01,18-34,Adult annual,Email,2,7,0,1,237.6,0
M00681,2025,F02,18-34,Senior annual,Referral,14,20,2,1,140.4,Censored
M00682,2025,F04,18-34,Monthly flexible,Community event,3,5,0,1,196.8,Censored
M00683,2023,F03,18-34,Adult annual,Paid social,4,4,4,1,226.6,0
M00684,2022,F01,Under 18,Senior annual,Organic web,10,10,4,2,262.8,1
M00685,2024,F02,50-64,Family annual,Organic web,12,25,1,1,327.6,0
M00686,2023,F01,50-64,Family annual,Paid social,9,32,1,2,635.7,1
M00687,2022,F04,50-64,Adult annual,Referral,5,16,2,4,939.4,1
M00688,2023,F02,50-64,Monthly flexible,Walk-in,1,5,2,2,393.6,1
M00689,2023,F02,65+,Monthly flexible,Referral,7,15,2,3,559.65,1
M00690,2022,F02,35-49,Monthly flexible,Organic web,3,4,0,1,186.55,0
M00691,2022,F03,50-64,Adult annual,Community event,5,6,3,1,237.6,0
M00692,2024,F03,18-34,Monthly flexible,Organic web,4,7,2,1,196.8,0
M00693,2022,F01,18-34,Family annual,Organic web,6,19,1,4,1300.65,1
M00694,2023,F03,18-34,Monthly flexible,Referral,3,8,3,3,569.9,1
M00695,2022,F01,18-34,Senior annual,Referral,7,7,0,4,552.6,1
M00696,2024,F02,50-64,Senior annual,Referral,8,9,0,2,271.8,1
M00697,2022,F03,18-34,Family annual,Walk-in,10,19,2,1,327.6,0
M00698,2023,F04,18-34,Adult annual,Referral,6,6,2,3,679.8,1
M00699,2025,F02,18-34,Youth annual,Walk-in,9,9,0,1,69.75,Censored
M00700,2024,F04,35-49,Adult annual,Walk-in,10,15,2,2,475.2,1
M00701,2025,F04,50-64,Senior annual,Paid social,1,1,2,1,131.4,Censored
M00702,2023,F01,65+,Adult annual,Organic web,2,9,5,3,712.8,1
M00703,2022,F02,18-34,Adult annual,Community event,10,32,4,3,679.8,1
M00704,2024,F02,18-34,Family annual,Email,5,7,7,2,645.45,1
M00705,2024,F03,35-49,Family annual,Organic web,9,23,1,1,327.6,0
M00706,2023,F03,50-64,Monthly flexible,Referral,1,1,3,1,186.55,0
M00707,2023,F01,35-49,Youth annual,Walk-in,8,15,2,3,271.25,1
M00708,2022,F01,50-64,Adult annual,Referral,5,20,1,1,226.6,0
