member_id,household_id,join_date,home_facility_id,service_area,age_group,membership_type,acquisition_channel,marketing_consent,postal_fsa,engagement_score
M00286,H00286,2025-11-24,F02,East Shore,18-34,Adult annual,Community event,Yes,V1C,0.853
M00287,H00096,2024-04-24,F04,West Valley,18-34,Adult annual,Referral,Yes,V1A,1.052
M00288,H00288,2023-02-16,F01,Central,35-49,Adult annual,Community event,No,V1E,1.064
M00289,H00289,2022-02-04,F02,East Shore,65+,Monthly flexible,Walk-in,Yes,V1B,0.717
M00290,H00097,2022-08-07,F03,North Valley,18-34,Senior annual,Walk-in,Yes,V1A,1.508
M00291,H00291,2022-11-19,F03,North Valley,18-34,Adult annual,Referral,Yes,V1E,0.525
M00292,H00098,2023-10-01,F03,North Valley,18-34,Youth annual,Walk-in,Yes,V1B,0.823
M00293,H00098,2025-10-07,F02,East Shore,35-49,Senior annual,Email,Yes,V1D,1.603
M00294,H00098,2024-05-17,F04,West Valley,35-49,Family annual,Paid social,Yes,V1E,0.766
M00295,H00148,2023-04-11,F03,North Valley,18-34,Monthly flexible,Organic web,Yes,V1E,1.699
M00296,H00296,2023-07-31,F03,North Valley,18-34,Youth annual,Email,No,V1A,0.459
M00297,H00297,2023-03-16,F03,North Valley,50-64,Senior annual,Referral,Yes,V1A,1.348
M00298,H00298,2025-10-01,F01,Central,35-49,Adult annual,Referral,No,V1E,1.586
M00299,H00299,2024-02-20,F03,North Valley,18-34,Adult annual,Email,No,V1E,1.074
M00300,H00100,2022-02-10,F01,Central,50-64,Adult annual,Referral,No,V1A,1.53
M00301,H00151,2024-08-11,F01,Central,35-49,Adult annual,Email,Yes,V1C,1.178
M00302,H00101,2023-01-21,F04,West Valley,50-64,Adult annual,Community event,Yes,V1D,0.958
M00303,H00152,2025-05-06,F01,Central,50-64,Senior annual,Referral,Yes,V1A,1.099
M00304,H00102,2025-11-15,F03,North Valley,18-34,Family annual,Walk-in,Yes,V1E,0.947
M00305,H00102,2024-01-19,F01,Central,65+,Youth annual,Referral,Yes,V1E,1.4
M00306,H00153,2024-11-17,F02,East Shore,35-49,Youth annual,Organic web,No,V1E,0.735
M00307,H00307,2023-07-16,F04,West Valley,18-34,Family annual,Walk-in,No,V1C,0.81
M00308,H00308,2023-05-18,F03,North Valley,50-64,Adult annual,Organic web,Yes,V1E,0.919
M00309,H00309,2025-06-29,F03,North Valley,35-49,Family annual,Community event,No,V1C,1.238
M00310,H00155,2023-05-15,F02,East Shore,65+,Monthly flexible,Referral,Yes,V1D,1.534
M00311,H00311,2024-03-29,F02,East Shore,65+,Adult annual,Referral,Yes,V1B,1.472
M00312,H00312,2022-01-25,F03,North Valley,65+,Family annual,Organic web,Yes,V1A,0.914
M00313,H00313,2022-09-30,F04,West Valley,Under 18,Monthly flexible,Walk-in,No,V1D,1.662
M00314,H00314,2023-03-02,F03,North Valley,18-34,Monthly flexible,Paid social,Yes,V1B,0.913
M00315,H00315,2022-02-12,F01,Central,65+,Adult annual,Referral,Yes,V1B,0.847
M00316,H00316,2023-10-09,F03,North Valley,65+,Family annual,Organic web,Yes,V1B,0.759
M00317,H00317,2024-05-21,F04,West Valley,65+,Youth annual,Paid social,Yes,V1A,1.22
M00318,H00318,2022-08-22,F02,East Shore,50-64,Adult annual,Paid social,Yes,V1A,1.662
M00319,H00319,2022-01-28,F03,North Valley,50-64,Adult annual,Community event,Yes,V1A,1.547
M00320,H00107,2025-05-22,F04,West Valley,18-34,Family annual,Organic web,No,V1C,0.508
M00321,H00321,2023-10-04,F03,North Valley,65+,Adult annual,Referral,Yes,V1C,1.358
M00322,H00322,2023-03-06,F03,North Valley,35-49,Monthly flexible,Referral,Yes,V1A,0.62
M00323,H00323,2022-05-01,F04,West Valley,35-49,Monthly flexible,Referral,Yes,V1C,1.096
M00324,H00324,2022-02-12,F02,East Shore,35-49,Monthly flexible,Community event,Yes,V1C,0.913
M00325,H00109,2024-05-08,F01,Central,50-64,Senior annual,Paid social,Yes,V1D,0.899
M00326,H00109,2023-07-20,F01,Central,65+,Monthly flexible,Walk-in,Yes,V1B,1.459
M00327,H00327,2024-01-19,F01,Central,50-64,Adult annual,Walk-in,Yes,V1D,1.651
M00328,H00110,2023-08-12,F03,North Valley,18-34,Family annual,Walk-in,Yes,V1C,0.505
M00329,H00110,2024-11-12,F03,North Valley,18-34,Youth annual,Referral,Yes,V1A,0.701
M00330,H00330,2022-08-02,F01,Central,18-34,Monthly flexible,Organic web,Yes,V1C,1.675
M00331,H00331,2022-06-18,F03,North Valley,65+,Family annual,Referral,No,V1C,1.283
M00332,H00332,2025-09-16,F01,Central,18-34,Senior annual,Organic web,No,V1A,1.17
M00333,H00333,2023-04-24,F03,North Valley,18-34,Family annual,Organic web,Yes,V1C,1.301
M00334,H00334,2023-10-17,F02,East Shore,50-64,Adult annual,Walk-in,No,V1A,0.846
M00335,H00168,2023-02-01,F02,East Shore,65+,Family annual,Referral,No,V1D,1.106
M00336,H00336,2024-02-12,F01,Central,Under 18,Monthly flexible,Organic web,Yes,V1E,1.627
M00337,H00337,2025-01-28,F01,Central,50-64,Adult annual,Referral,Yes,V1E,0.553
M00338,H00113,2023-06-22,F04,West Valley,18-34,Adult annual,Referral,No,V1E,1.15
M00339,H00339,2023-09-21,F01,Central,35-49,Senior annual,Community event,Yes,V1A,0.454
M00340,H00340,2022-08-07,F03,North Valley,35-49,Adult annual,Walk-in,Yes,V1B,1.01
M00341,H00341,2023-09-20,F01,Central,35-49,Adult annual,Organic web,No,V1C,1.432
M00342,H00342,2022-07-07,F03,North Valley,65+,Youth annual,Walk-in,No,V1B,1.682
M00343,H00172,2024-09-29,F02,East Shore,18-34,Family annual,Organic web,Yes,V1B,1.419
M00344,H00172,2025-04-25,F01,Central,35-49,Family annual,Email,No,V1D,0.598
M00345,H00115,2022-06-12,F01,Central,50-64,Monthly flexible,Referral,Yes,V1C,0.953
M00346,H00346,2024-05-05,F01,Central,18-34,Family annual,Referral,Yes,V1E,1.167
M00347,H00116,2022-07-13,F01,Central,18-34,Monthly flexible,Organic web,Yes,V1C,0.529
M00348,H00348,2023-11-21,F02,East Shore,18-34,Family annual,Email,Yes,V1A,1.588
M00349,H00349,2025-02-16,F01,Central,18-34,Senior annual,Organic web,Yes,V1A,0.94
M00350,H00350,2024-08-04,F02,East Shore,50-64,Senior annual,Walk-in,Yes,V1D,1.612
M00351,H00117,2024-01-20,F03,North Valley,50-64,Family annual,Walk-in,Yes,V1A,0.885
M00352,H00352,2024-03-02,F04,West Valley,65+,Senior annual,Community event,No,V1D,1.156
M00353,H00353,2023-04-26,F04,West Valley,65+,Senior annual,Walk-in,Yes,V1C,1.475
M00354,H00177,2025-08-15,F01,Central,65+,Adult annual,Paid social,Yes,V1A,1.038
M00355,H00355,2024-09-21,F01,Central,50-64,Family annual,Referral,Yes,V1A,1.641
M00356,H00178,2025-01-11,F04,West Valley,35-49,Adult annual,Paid social,Yes,V1C,0.573
M00357,H00179,2022-10-09,F04,West Valley,35-49,Monthly flexible,Referral,Yes,V1D,0.617
M00358,H00358,2022-05-25,F01,Central,Under 18,Senior annual,Organic web,No,V1B,1.577
M00359,H00180,2022-05-10,F04,West Valley,18-34,Adult annual,Organic web,Yes,V1C,0.664
M00360,H00360,2024-02-06,F01,Central,35-49,Senior annual,Community event,No,V1B,0.878
M00361,H00181,2024-06-16,F01,Central,50-64,Adult annual,Referral,Yes,V1D,1.514
M00362,H00362,2023-10-25,F01,Central,50-64,Adult annual,Referral,No,V1D,1.035
M00363,H00363,2023-04-16,F03,North Valley,50-64,Senior annual,Community event,No,V1D,1.477
M00364,H00364,2023-07-08,F02,East Shore,65+,Senior annual,Referral,Yes,V1C,1.294
M00365,H00183,2023-05-16,F02,East Shore,65+,Family annual,Paid social,Yes,V1C,0.859
M00366,H00366,2025-11-24,F01,Central,18-34,Senior annual,Referral,Yes,V1A,0.609
M00367,H00123,2023-09-19,F02,East Shore,18-34,Adult annual,Paid social,Yes,V1A,1.491
M00368,H00368,2023-11-18,F01,Central,35-49,Monthly flexible,Referral,Yes,V1B,1.08
M00369,H00369,2024-05-01,F01,Central,18-34,Adult annual,Walk-in,Yes,V1E,0.824
M00370,H00370,2022-01-24,F04,West Valley,18-34,Monthly flexible,Organic web,Yes,V1D,0.545
M00371,H00186,2022-04-05,F01,Central,18-34,Monthly flexible,Paid social,No,V1E,0.786
M00372,H00372,2025-05-29,F04,West Valley,Under 18,Youth annual,Walk-in,Yes,V1A,0.565
M00373,H00125,2022-05-26,F04,West Valley,65+,Family annual,Referral,Yes,V1A,1.613
M00374,H00374,2023-04-07,F03,North Valley,35-49,Youth annual,Paid social,No,V1E,1.252
M00375,H00188,2023-03-13,F01,Central,18-34,Family annual,Organic web,Yes,V1A,1.194
M00376,H00126,2024-03-28,F03,North Valley,35-49,Adult annual,Referral,Yes,V1C,1.162
M00377,H00377,2024-07-23,F01,Central,18-34,Monthly flexible,Walk-in,Yes,V1E,0.939
M00378,H00189,2022-01-21,F01,Central,35-49,Adult annual,Community event,Yes,V1A,0.584
M00379,H00379,2024-07-29,F04,West Valley,18-34,Monthly flexible,Organic web,Yes,V1D,1.38
M00380,H00380,2022-06-24,F01,Central,18-34,Senior annual,Referral,Yes,V1C,1.421
M00381,H00381,2024-08-12,F02,East Shore,Under 18,Monthly flexible,Paid social,Yes,V1B,0.838
M00382,H00191,2025-05-22,F01,Central,50-64,Monthly flexible,Referral,Yes,V1B,0.736
M00383,H00128,2023-10-31,F02,East Shore,35-49,Monthly flexible,Walk-in,Yes,V1A,1.646
M00384,H00384,2024-01-14,F02,East Shore,18-34,Family annual,Community event,No,V1E,1.129
M00385,H00193,2023-11-23,F04,West Valley,18-34,Family annual,Email,Yes,V1C,0.709
M00386,H00129,2025-05-28,F01,Central,18-34,Adult annual,Email,Yes,V1B,1.688
M00387,H00129,2024-04-15,F04,West Valley,50-64,Youth annual,Organic web,Yes,V1A,0.555
M00388,H00388,2023-10-02,F01,Central,18-34,Youth annual,Organic web,Yes,V1B,0.795
M00389,H00389,2022-07-27,F01,Central,65+,Monthly flexible,Organic web,Yes,V1E,0.918
M00390,H00390,2024-10-06,F04,West Valley,65+,Youth annual,Walk-in,Yes,V1B,1.536
M00391,H00196,2025-11-02,F01,Central,35-49,Senior annual,Organic web,Yes,V1A,0.658
M00392,H00392,2023-03-21,F04,West Valley,35-49,Monthly flexible,Community event,Yes,V1D,0.864
M00393,H00197,2023-08-12,F01,Central,18-34,Adult annual,Organic web,Yes,V1E,0.605
M00394,H00197,2024-07-04,F04,West Valley,18-34,Monthly flexible,Walk-in,Yes,V1C,0.522
M00395,H00395,2023-10-16,F03,North Valley,18-34,Adult annual,Paid social,Yes,V1B,0.965
M00396,H00396,2025-04-12,F01,Central,50-64,Monthly flexible,Organic web,Yes,V1C,0.766
M00397,H00397,2024-08-19,F03,North Valley,50-64,Adult annual,Email,Yes,V1B,0.913
M00398,H00199,2025-01-31,F01,Central,Under 18,Youth annual,Organic web,No,V1C,1.101
M00399,H00200,2023-01-20,F01,Central,65+,Family annual,Walk-in,Yes,V1A,0.527
M00400,H00400,2023-01-22,F04,West Valley,18-34,Adult annual,Walk-in,Yes,V1C,1.047
M00401,H00134,2022-06-26,F01,Central,65+,Adult annual,Organic web,Yes,V1D,1.241
M00402,H00402,2023-03-20,F03,North Valley,18-34,Senior annual,Walk-in,No,V1B,1.607
M00403,H00135,2024-10-01,F01,Central,50-64,Monthly flexible,Paid social,No,V1E,1.03
M00404,H00404,2025-01-22,F01,Central,18-34,Adult annual,Walk-in,Yes,V1D,0.68
M00405,H00203,2024-01-21,F03,North Valley,65+,Monthly flexible,Paid social,Yes,V1B,1.466
M00406,H00406,2025-10-06,F04,West Valley,35-49,Family annual,Referral,No,V1C,1.319
M00407,H00407,2025-07-13,F04,West Valley,50-64,Adult annual,Organic web,Yes,V1C,0.749
M00408,H00408,2022-07-15,F02,East Shore,50-64,Monthly flexible,Community event,No,V1E,1.076
M00409,H00205,2024-01-21,F04,West Valley,35-49,Monthly flexible,Organic web,Yes,V1D,0.894
M00410,H00410,2023-06-08,F02,East Shore,18-34,Adult annual,Email,Yes,V1B,0.704
M00411,H00411,2023-10-02,F04,West Valley,18-34,Family annual,Organic web,Yes,V1E,0.619
M00412,H00412,2023-08-23,F01,Central,35-49,Senior annual,Paid social,Yes,V1B,1.669
M00413,H00413,2023-03-12,F04,West Valley,Under 18,Monthly flexible,Community event,Yes,V1B,1.253
M00414,H00414,2022-11-07,F04,West Valley,50-64,Family annual,Referral,Yes,V1A,0.479
M00415,H00415,2025-03-22,F01,Central,50-64,Family annual,Referral,Yes,V1C,1.543
M00416,H00416,2022-10-26,F03,North Valley,50-64,Monthly flexible,Referral,Yes,V1A,1.678
M00417,H00417,2025-11-02,F02,East Shore,50-64,Youth annual,Referral,Yes,V1D,0.501
M00418,H00140,2022-04-01,F01,Central,35-49,Family annual,Email,Yes,V1C,0.707
M00419,H00140,2024-04-20,F02,East Shore,18-34,Family annual,Organic web,No,V1D,0.497
M00420,H00210,2023-11-11,F04,West Valley,50-64,Monthly flexible,Paid social,No,V1A,0.98
M00421,H00141,2023-01-17,F03,North Valley,Under 18,Family annual,Walk-in,Yes,V1B,1.542
M00422,H00211,2023-04-09,F02,East Shore,Under 18,Family annual,Walk-in,Yes,V1E,0.999
M00423,H00212,2023-07-20,F04,West Valley,50-64,Adult annual,Referral,Yes,V1D,1.502
M00424,H00424,2024-10-29,F03,North Valley,50-64,Monthly flexible,Organic web,No,V1E,0.848
M00425,H00213,2025-03-03,F04,West Valley,18-34,Youth annual,Organic web,No,V1E,0.967
M00426,H00426,2025-11-12,F04,West Valley,35-49,Senior annual,Email,Yes,V1C,1.053
M00427,H00143,2023-03-09,F01,Central,35-49,Family annual,Email,Yes,V1C,0.82
M00428,H00143,2023-09-24,F04,West Valley,50-64,Adult annual,Organic web,Yes,V1B,1.569
M00429,H00429,2022-07-11,F01,Central,35-49,Family annual,Referral,Yes,V1C,1.65
M00430,H00144,2022-01-23,F03,North Valley,65+,Family annual,Community event,Yes,V1A,0.61
M00431,H00216,2025-04-23,F02,East Shore,35-49,Adult annual,Paid social,No,V1D,1.464
M00432,H00432,2022-05-06,F03,North Valley,65+,Adult annual,Walk-in,Yes,V1B,1.179
M00433,H00433,2023-04-14,F04,West Valley,35-49,Youth annual,Organic web,Yes,V1D,0.585
M00434,H00434,2024-08-21,F01,Central,65+,Senior annual,Organic web,Yes,V1B,1.271
M00435,H00435,2024-06-19,F03,North Valley,Under 18,Family annual,Paid social,No,V1C,1.402
M00436,H00218,2023-09-11,F04,West Valley,50-64,Adult annual,Organic web,Yes,V1D,0.816
M00437,H00437,2022-09-06,F03,North Valley,65+,Adult annual,Organic web,No,V1D,1.564
M00438,H00438,2023-03-07,F02,East Shore,35-49,Monthly flexible,Community event,Yes,V1C,0.508
M00439,H00439,2023-05-04,F01,Central,50-64,Monthly flexible,Organic web,Yes,V1A,0.514
M00440,H00440,2023-06-05,F03,North Valley,65+,Monthly flexible,Walk-in,Yes,V1E,1.171
M00441,H00441,2023-08-10,F02,East Shore,18-34,Youth annual,Paid social,Yes,V1A,0.944
M00442,H00221,2024-07-07,F02,East Shore,18-34,Senior annual,Paid social,Yes,V1A,0.617
M00443,H00148,2022-05-28,F01,Central,50-64,Adult annual,Organic web,Yes,V1E,0.678
M00444,H00444,2024-04-27,F03,North Valley,65+,Adult annual,Organic web,Yes,V1C,1.505
M00445,H00445,2025-02-15,F02,East Shore,65+,Family annual,Paid social,Yes,V1C,1.105
M00446,H00446,2022-05-23,F02,East Shore,50-64,Monthly flexible,Walk-in,Yes,V1E,0.955
M00447,H00447,2024-01-25,F02,East Shore,35-49,Adult annual,Walk-in,Yes,V1E,0.954
M00448,H00150,2025-09-13,F01,Central,18-34,Family annual,Walk-in,Yes,V1A,0.961
M00449,H00449,2023-05-03,F04,West Valley,35-49,Adult annual,Organic web,No,V1C,0.785
M00450,H00450,2024-06-14,F04,West Valley,50-64,Senior annual,Organic web,No,V1B,1.627
M00451,H00151,2023-02-11,F04,West Valley,65+,Family annual,Paid social,Yes,V1C,0.635
M00452,H00452,2023-03-12,F04,West Valley,35-49,Senior annual,Email,Yes,V1B,1.144
M00453,H00227,2022-06-07,F02,East Shore,35-49,Youth annual,Organic web,Yes,V1E,1.026
M00454,H00227,2023-09-27,F04,West Valley,35-49,Monthly flexible,Organic web,Yes,V1E,1.143
M00455,H00455,2022-05-05,F03,North Valley,65+,Adult annual,Email,Yes,V1C,1.627
M00456,H00456,2023-05-11,F04,West Valley,35-49,Adult annual,Paid social,Yes,V1A,1.446
M00457,H00229,2022-03-23,F04,West Valley,35-49,Monthly flexible,Walk-in,Yes,V1A,0.577
M00458,H00229,2024-03-19,F01,Central,65+,Senior annual,Walk-in,Yes,V1A,1.687
M00459,H00459,2023-04-07,F04,West Valley,18-34,Monthly flexible,Email,No,V1B,1.626
M00460,H00460,2023-06-17,F03,North Valley,18-34,Monthly flexible,Organic web,Yes,V1E,1.558
M00461,H00154,2025-10-19,F01,Central,Under 18,Adult annual,Community event,No,V1C,1.584
M00462,H00462,2023-03-06,F01,Central,35-49,Adult annual,Referral,Yes,V1D,1.519
M00463,H00463,2022-01-19,F01,Central,50-64,Adult annual,Organic web,No,V1D,0.994
M00464,H00464,2023-06-13,F01,Central,35-49,Senior annual,Paid social,No,V1A,1.468
M00465,H00465,2025-06-11,F01,Central,35-49,Senior annual,Paid social,No,V1A,1.223
M00466,H00156,2025-06-07,F03,North Valley,35-49,Adult annual,Email,Yes,V1A,1.155
M00467,H00467,2024-11-03,F01,Central,18-34,Family annual,Referral,Yes,V1B,0.889
M00468,H00234,2025-09-08,F02,East Shore,35-49,Youth annual,Community event,Yes,V1B,0.66
M00469,H00469,2024-02-02,F01,Central,18-34,Senior annual,Organic web,Yes,V1E,1.335
M00470,H00235,2023-02-26,F01,Central,65+,Adult annual,Paid social,No,V1A,1.523
M00471,H00157,2022-04-13,F02,East Shore,18-34,Family annual,Referral,Yes,V1E,0.949
M00472,H00158,2025-01-19,F01,Central,Under 18,Family annual,Referral,Yes,V1D,0.86
M00473,H00473,2023-10-14,F01,Central,50-64,Senior annual,Walk-in,Yes,V1C,1.353
M00474,H00474,2024-07-01,F04,West Valley,35-49,Adult annual,Referral,Yes,V1A,0.688
M00475,H00475,2022-07-23,F01,Central,18-34,Monthly flexible,Organic web,Yes,V1D,1.417
M00476,H00238,2024-04-05,F02,East Shore,50-64,Adult annual,Community event,Yes,V1E,1.172
M00477,H00477,2023-08-29,F02,East Shore,50-64,Monthly flexible,Organic web,No,V1B,1.425
M00478,H00478,2024-06-02,F02,East Shore,35-49,Monthly flexible,Organic web,Yes,V1A,0.837
M00479,H00479,2022-03-03,F01,Central,50-64,Adult annual,Community event,Yes,V1E,1.201
M00480,H00240,2022-04-05,F01,Central,18-34,Adult annual,Community event,No,V1A,1.661
M00481,H00241,2022-11-18,F02,East Shore,65+,Youth annual,Paid social,No,V1A,0.879
M00482,H00241,2024-03-26,F01,Central,50-64,Adult annual,Paid social,Yes,V1A,0.658
M00483,H00483,2025-06-15,F02,East Shore,18-34,Family annual,Referral,Yes,V1C,1.674
M00484,H00162,2024-06-25,F02,East Shore,65+,Adult annual,Organic web,Yes,V1A,1.374
M00485,H00162,2024-06-11,F04,West Valley,65+,Youth annual,Paid social,Yes,V1E,0.597
M00486,H00486,2024-04-29,F04,West Valley,35-49,Family annual,Walk-in,Yes,V1A,0.712
M00487,H00487,2024-08-04,F01,Central,50-64,Senior annual,Walk-in,Yes,V1A,0.702
M00488,H00488,2022-08-19,F02,East Shore,35-49,Adult annual,Walk-in,Yes,V1E,0.6
M00489,H00489,2025-10-25,F01,Central,50-64,Adult annual,Paid social,No,V1C,0.712
M00490,H00490,2024-07-26,F04,West Valley,18-34,Family annual,Organic web,Yes,V1A,1.153
M00491,H00491,2024-02-13,F02,East Shore,35-49,Adult annual,Walk-in,No,V1E,0.841
M00492,H00492,2024-04-09,F04,West Valley,18-34,Family annual,Paid social,Yes,V1D,0.482
M00493,H00493,2025-05-27,F03,North Valley,65+,Adult annual,Organic web,Yes,V1B,1.516
M00494,H00165,2024-06-10,F02,East Shore,35-49,Family annual,Walk-in,Yes,V1A,1.127
M00495,H00165,2022-04-25,F04,West Valley,65+,Family annual,Community event,Yes,V1B,0.99
M00496,H00496,2025-06-19,F04,West Valley,65+,Monthly flexible,Walk-in,Yes,V1C,0.471
M00497,H00497,2023-06-20,F04,West Valley,65+,Monthly flexible,Community event,Yes,V1E,0.5
M00498,H00498,2024-08-06,F04,West Valley,18-34,Family annual,Organic web,Yes,V1A,1.317
M00499,H00499,2024-06-10,F02,East Shore,18-34,Adult annual,Community event,Yes,V1E,0.47
M00500,H00250,2023-02-04,F03,North Valley,18-34,Monthly flexible,Community event,No,V1D,1.058
M00501,H00251,2023-08-21,F03,North Valley,35-49,Family annual,Organic web,No,V1E,1.227
M00502,H00251,2024-09-22,F01,Central,65+,Adult annual,Email,Yes,V1A,0.513
M00503,H00168,2025-05-07,F01,Central,50-64,Family annual,Community event,Yes,V1C,0.554
M00504,H00504,2023-01-20,F02,East Shore,18-34,Adult annual,Organic web,Yes,V1B,1.279
M00505,H00505,2022-04-03,F04,West Valley,50-64,Senior annual,Paid social,Yes,V1E,1.429
M00506,H00506,2023-07-14,F03,North Valley,35-49,Adult annual,Walk-in,No,V1A,1.081
M00507,H00169,2024-06-08,F02,East Shore,Under 18,Monthly flexible,Paid social,Yes,V1E,1.317
M00508,H00508,2024-10-16,F01,Central,50-64,Adult annual,Walk-in,Yes,V1E,0.691
M00509,H00509,2023-10-27,F01,Central,18-34,Family annual,Paid social,Yes,V1C,0.95
M00510,H00510,2025-11-19,F01,Central,35-49,Monthly flexible,Referral,Yes,V1B,0.701
M00511,H00171,2024-11-02,F02,East Shore,50-64,Adult annual,Walk-in,Yes,V1E,0.613
M00512,H00512,2023-10-07,F04,West Valley,65+,Adult annual,Organic web,Yes,V1E,1.174
M00513,H00513,2023-04-11,F03,North Valley,35-49,Adult annual,Organic web,No,V1B,0.689
M00514,H00257,2022-05-28,F02,East Shore,50-64,Adult annual,Paid social,Yes,V1B,0.603
M00515,H00172,2024-06-25,F01,Central,18-34,Adult annual,Referral,Yes,V1E,0.747
M00516,H00172,2024-08-15,F04,West Valley,50-64,Adult annual,Paid social,Yes,V1B,1.179
M00517,H00517,2023-10-22,F01,Central,50-64,Monthly flexible,Paid social,No,V1D,0.89
M00518,H00518,2024-07-18,F03,North Valley,18-34,Monthly flexible,Walk-in,Yes,V1C,1.527
M00519,H00519,2023-11-17,F01,Central,65+,Adult annual,Organic web,Yes,V1D,1.623
M00520,H00174,2024-10-25,F03,North Valley,50-64,Youth annual,Email,Yes,V1E,1.123
M00521,H00261,2025-06-30,F01,Central,18-34,Adult annual,Paid social,Yes,V1B,1.365
M00522,H00522,2022-04-30,F02,East Shore,50-64,Adult annual,Walk-in,Yes,V1E,0.859
M00523,H00523,2024-09-24,F02,East Shore,50-64,Monthly flexible,Community event,Yes,V1A,0.825
M00524,H00524,2024-09-13,F01,Central,35-49,Adult annual,Walk-in,Yes,V1B,0.797
M00525,H00525,2023-07-26,F01,Central,18-34,Monthly flexible,Walk-in,Yes,V1A,0.469
M00526,H00176,2024-05-07,F04,West Valley,35-49,Senior annual,Referral,Yes,V1D,0.673
M00527,H00176,2023-02-15,F04,West Valley,35-49,Monthly flexible,Walk-in,No,V1B,1.275
M00528,H00528,2023-05-21,F02,East Shore,Under 18,Adult annual,Referral,Yes,V1C,0.451
M00529,H00529,2025-07-15,F02,East Shore,35-49,Senior annual,Referral,Yes,V1C,1.173
M00530,H00265,2022-06-13,F01,Central,Under 18,Family annual,Organic web,Yes,V1D,1.146
M00531,H00531,2024-05-08,F04,West Valley,35-49,Monthly flexible,Organic web,Yes,V1A,1.178
M00532,H00532,2023-06-27,F02,East Shore,65+,Family annual,Paid social,No,V1B,0.932
M00533,H00533,2022-06-27,F02,East Shore,50-64,Family annual,Referral,No,V1A,0.865
M00534,H00534,2023-04-25,F04,West Valley,18-34,Adult annual,Organic web,Yes,V1B,0.965
M00535,H00535,2024-02-27,F01,Central,50-64,Adult annual,Organic web,No,V1E,0.9
M00536,H00268,2023-06-15,F04,West Valley,18-34,Monthly flexible,Referral,No,V1B,1.144
M00537,H00179,2023-09-07,F04,West Valley,18-34,Senior annual,Organic web,Yes,V1C,0.808
M00538,H00538,2025-04-22,F04,West Valley,35-49,Youth annual,Walk-in,Yes,V1C,1.131
M00539,H00539,2025-06-27,F01,Central,65+,Family annual,Community event,Yes,V1E,1.246
M00540,H00540,2025-08-25,F03,North Valley,18-34,Monthly flexible,Paid social,Yes,V1C,1.192
M00541,H00541,2025-09-12,F01,Central,35-49,Family annual,Paid social,Yes,V1E,1.238
M00542,H00542,2024-03-09,F01,Central,18-34,Monthly flexible,Paid social,Yes,V1D,1.447
M00543,H00181,2022-06-23,F02,East Shore,18-34,Monthly flexible,Paid social,Yes,V1B,0.854
M00544,H00544,2025-05-14,F04,West Valley,50-64,Family annual,Community event,No,V1B,1.338
M00545,H00545,2025-10-10,F01,Central,35-49,Senior annual,Community event,Yes,V1E,1.065
M00546,H00546,2025-11-11,F04,West Valley,65+,Adult annual,Walk-in,Yes,V1B,1.683
M00547,H00274,2022-05-12,F01,Central,50-64,Family annual,Email,Yes,V1D,1.286
M00548,H00183,2023-03-06,F02,East Shore,18-34,Adult annual,Walk-in,No,V1C,1.399
M00549,H00275,2022-05-29,F03,North Valley,50-64,Senior annual,Referral,Yes,V1A,0.557
M00550,H00550,2024-02-16,F02,East Shore,Under 18,Adult annual,Referral,Yes,V1B,1.524
M00551,H00184,2025-10-02,F04,West Valley,50-64,Family annual,Paid social,Yes,V1D,1.183
M00552,H00552,2023-08-02,F04,West Valley,50-64,Monthly flexible,Walk-in,Yes,V1C,0.914
M00553,H00185,2024-10-25,F02,East Shore,18-34,Adult annual,Organic web,No,V1A,0.792
M00554,H00554,2024-08-02,F01,Central,50-64,Adult annual,Email,Yes,V1A,1.59
M00555,H00278,2023-08-07,F03,North Valley,65+,Adult annual,Community event,Yes,V1A,1.332
M00556,H00556,2024-06-14,F04,West Valley,Under 18,Monthly flexible,Referral,Yes,V1A,0.79
M00557,H00557,2024-05-07,F04,West Valley,50-64,Senior annual,Organic web,No,V1E,0.953
M00558,H00558,2025-05-29,F01,Central,35-49,Adult annual,Walk-in,Yes,V1E,0.55
M00559,H00559,2022-08-31,F02,East Shore,35-49,Senior annual,Paid social,Yes,V1E,0.956
M00560,H00187,2023-06-16,F04,West Valley,18-34,Family annual,Walk-in,No,V1C,1.462
M00561,H00561,2023-08-26,F01,Central,50-64,Youth annual,Referral,No,V1C,0.988
M00562,H00188,2024-01-09,F01,Central,35-49,Adult annual,Paid social,Yes,V1E,0.762
M00563,H00188,2023-03-21,F04,West Valley,50-64,Monthly flexible,Paid social,No,V1C,0.581
M00564,H00564,2024-08-16,F01,Central,35-49,Family annual,Organic web,No,V1E,1.523
M00565,H00565,2023-04-14,F01,Central,18-34,Adult annual,Walk-in,Yes,V1A,1.139
M00566,H00566,2022-09-08,F01,Central,Under 18,Adult annual,Walk-in,Yes,V1B,1.446
M00567,H00567,2025-09-04,F01,Central,18-34,Senior annual,Email,Yes,V1C,0.511
M00568,H00568,2023-10-05,F01,Central,65+,Family annual,Referral,Yes,V1A,0.546
M00569,H00190,2022-07-27,F03,North Valley,Under 18,Monthly flexible,Community event,Yes,V1C,1.41
M00570,H00570,2024-08-30,F01,Central,35-49,Adult annual,Paid social,Yes,V1D,0.608
M00571,H00286,2022-11-11,F04,West Valley,18-34,Monthly flexible,Organic web,Yes,V1A,1.138
